Date,EPS
2020-12-31,$59.45
2020-09-30,$31.03
2020-06-30,$65.75
2020-03-31,$-100.60
2019-12-31,$36.29
2019-09-30,$13.95
2019-06-30,$36.07
2019-03-31,$42.76
2018-12-31,$-53.77
2018-09-30,$28.50
2018-06-30,$19.97
2018-03-31,$-4.25
2017-12-31,$30.42
2017-09-30,$-18.82
2017-06-30,$10.31
2017-03-31,$3.90
2016-12-31,$9.11
2016-09-30,$5.60
2016-06-30,$5.41
2016-03-31,$11.15
2015-12-31,$14.14
2015-09-30,$7.39
2015-06-30,$6.72
2015-03-31,$13.49
2014-12-31,$8.06
2014-09-30,$5.30
2014-06-30,$2.66
2014-03-31,$6.25
2013-12-31,$6.07
2013-09-30,$4.67
2013-06-30,$2.24
2013-03-31,$9.50
2012-12-31,$6.23
2012-09-30,$5.32
2012-06-30,$8.42
2012-03-31,$5.92
2011-12-31,$5.16
2011-09-30,$5.48
2011-06-30,$3.11
2011-03-31,$0.85
2010-12-31,$14.34
2010-09-30,$6.48
2010-06-30,$2.12
2010-03-31,$4.33
2009-12-31,$9.49
2009-09-30,$6.02
2009-06-30,$3.34
2009-03-31,$1.67
2008-12-31,$-3.19
2008-09-30,$-14.46
2008-06-30,$8.29
2008-03-31,$3.41
2007-12-31,$9.35
2007-09-30,$9.26
2007-06-30,$12.15
2007-03-31,$9.88
2006-12-31,$12.15
2006-09-30,$10.47
2006-06-30,$9.11
2006-03-31,$7.67
2005-12-31,$12.69
2005-09-30,$-11.31
2005-06-30,$5.95
2005-03-31,$7.47
