Markel ROA - Return on Assets Historical Data,Markel ROA - Return on Assets Historical Data,Markel ROA - Return on Assets Historical Data,Markel ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.80B,$41.71B,2.03%
2020-09-30,$0.48B,$40.17B,1.26%
2020-06-30,$0.23B,$39.07B,0.62%
2020-03-31,$-0.19B,$36.05B,-0.52%
2019-12-31,$1.79B,$37.47B,4.92%
2019-09-30,$0.53B,$37.04B,1.49%
2019-06-30,$0.73B,$36.42B,2.11%
2019-03-31,$0.51B,$34.74B,1.51%
2018-12-31,$-0.13B,$33.31B,-0.39%
2018-09-30,$1.06B,$33.96B,3.18%
2018-06-30,$0.39B,$33.25B,1.22%
2018-03-31,$0.26B,$32.87B,0.86%
2017-12-31,$0.40B,$32.81B,1.38%
2017-09-30,$0.09B,$28.52B,0.35%
2017-06-30,$0.44B,$27.20B,1.65%
2017-03-31,$0.37B,$26.40B,1.39%
2016-12-31,$0.46B,$25.88B,1.75%
2016-09-30,$0.52B,$26.40B,2.02%
2016-06-30,$0.54B,$26.34B,2.11%
2016-03-31,$0.55B,$25.69B,2.18%
2015-12-31,$0.58B,$24.94B,2.31%
2015-09-30,$0.50B,$25.18B,1.99%
2015-06-30,$0.48B,$25.37B,1.89%
2015-03-31,$0.43B,$25.25B,1.69%
2014-12-31,$0.32B,$25.20B,1.29%
2014-09-30,$0.30B,$25.08B,1.23%
2014-06-30,$0.29B,$25.17B,1.20%
2014-03-31,$0.28B,$24.45B,1.17%
2013-12-31,$0.28B,$23.96B,1.34%
2013-09-30,$0.24B,$23.81B,1.32%
2013-06-30,$0.22B,$23.50B,1.46%
2013-03-31,$0.29B,$13.12B,2.29%
2012-12-31,$0.25B,$12.56B,2.08%
2012-09-30,$0.25B,$12.38B,2.07%
2012-06-30,$0.25B,$11.97B,2.14%
2012-03-31,$0.19B,$11.86B,1.64%
2011-12-31,$0.14B,$11.53B,1.24%
2011-09-30,$0.23B,$11.37B,2.07%
2011-06-30,$0.24B,$11.47B,2.20%
2011-03-31,$0.23B,$11.04B,2.17%
2010-12-31,$0.27B,$10.83B,2.54%
2010-09-30,$0.22B,$10.58B,2.12%
2010-06-30,$0.22B,$10.32B,2.10%
2010-03-31,$0.23B,$10.34B,2.25%
2009-12-31,$0.20B,$10.24B,2.03%
2009-09-30,$0.08B,$10.20B,0.77%
2009-06-30,$-0.13B,$9.71B,-1.31%
2009-03-31,$-0.08B,$9.40B,-0.79%
2008-12-31,$-0.06B,$9.51B,-0.60%
2008-09-30,$0.07B,$9.93B,0.67%
2008-06-30,$0.30B,$10.04B,2.97%
2008-03-31,$0.34B,$10.16B,3.34%
2007-12-31,$0.41B,$10.13B,4.00%
2007-09-30,$0.43B,$10.23B,4.28%
2007-06-30,$0.45B,$10.20B,4.42%
2007-03-31,$0.41B,$9.97B,4.17%
2006-12-31,$0.39B,$10.09B,3.97%
2006-09-30,$0.39B,$9.98B,4.02%
2006-06-30,$0.18B,$9.69B,1.83%
2006-03-31,$0.15B,$9.73B,1.54%
2005-12-31,$0.15B,$9.81B,1.55%
