Marsh & McLennan Debt/Equity Ratio Historical Data,Marsh & McLennan Debt/Equity Ratio Historical Data,Marsh & McLennan Debt/Equity Ratio Historical Data,Marsh & McLennan Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$23.79B,$9.26B,2.57
2020-09-30,$23.93B,$8.75B,2.73
2020-06-30,$23.78B,$8.39B,2.83
2020-03-31,$23.94B,$7.45B,3.21
2019-12-31,$23.41B,$7.94B,2.95
2019-09-30,$23.30B,$7.80B,2.99
2019-06-30,$23.78B,$8.34B,2.85
2019-03-31,$22.15B,$7.99B,2.77
2018-12-31,$13.99B,$7.58B,1.85
2018-09-30,$13.59B,$7.54B,1.8
2018-06-30,$13.36B,$7.80B,1.71
2018-03-31,$13.36B,$8.02B,1.67
2017-12-31,$12.99B,$7.44B,1.75
2017-09-30,$12.56B,$7.13B,1.76
2017-06-30,$12.37B,$7.07B,1.75
2017-03-31,$12.35B,$6.62B,1.87
2016-12-31,$11.92B,$6.27B,1.9
2016-09-30,$11.60B,$6.75B,1.72
2016-06-30,$11.37B,$6.71B,1.7
2016-03-31,$11.36B,$6.77B,1.68
2015-12-31,$11.61B,$6.60B,1.76
2015-09-30,$11.38B,$6.34B,1.79
2015-06-30,$10.54B,$6.87B,1.53
2015-03-31,$9.97B,$6.86B,1.45
2014-12-31,$10.66B,$7.13B,1.49
2014-09-30,$10.07B,$7.92B,1.27
2014-06-30,$9.36B,$8.23B,1.14
2014-03-31,$8.53B,$8.04B,1.06
2013-12-31,$9.01B,$7.98B,1.13
2013-09-30,$9.86B,$7.12B,1.38
2013-06-30,$8.99B,$6.85B,1.31
2013-03-31,$8.82B,$6.71B,1.31
2012-12-31,$9.68B,$6.61B,1.47
2012-09-30,$9.16B,$6.58B,1.39
2012-06-30,$8.86B,$6.34B,1.4
2012-03-31,$8.75B,$6.27B,1.4
2011-12-31,$9.51B,$5.94B,1.6
2011-09-30,$8.66B,$6.47B,1.34
2011-06-30,$8.67B,$6.78B,1.28
2011-03-31,$8.39B,$6.69B,1.25
2010-12-31,$8.90B,$6.42B,1.39
2010-09-30,$8.49B,$6.42B,1.32
2010-06-30,$9.58B,$6.04B,1.59
2010-03-31,$8.95B,$6.01B,1.49
2009-12-31,$9.47B,$5.86B,1.62
2009-09-30,$9.30B,$6.04B,1.54
2009-06-30,$9.16B,$5.76B,1.59
2009-03-31,$9.17B,$5.69B,1.61
2008-12-31,$9.45B,$5.76B,1.64
2008-09-30,$9.11B,$6.92B,1.32
2008-06-30,$8.90B,$7.53B,1.18
2008-03-31,$8.95B,$7.52B,1.19
2007-12-31,$9.54B,$7.82B,1.22
2007-09-30,$10.62B,$6.92B,1.53
2007-06-30,$11.53B,$5.66B,2.04
2007-03-31,$11.28B,$5.95B,1.9
2006-12-31,$12.32B,$5.82B,2.12
2006-09-30,$11.61B,$6.20B,1.87
2006-06-30,$11.42B,$6.02B,1.9
2006-03-31,$11.78B,$5.74B,2.05
2005-12-31,$12.53B,$5.36B,2.34
2005-09-30,$12.15B,$5.36B,2.27
2005-06-30,$12.12B,$5.01B,2.42
2005-03-31,$12.52B,$5.03B,2.49
