Date,EBIT
2020-12-31,$571
2020-09-30,$540
2020-06-30,$885
2020-03-31,"$1,070"
2019-12-31,$592
2019-09-30,$467
2019-06-30,$680
2019-03-31,$938
2018-12-31,$621
2018-09-30,$541
2018-06-30,$691
2018-03-31,$908
2017-12-31,$670
2017-09-30,$535
2017-06-30,$701
2017-03-31,$749
2016-12-31,$400
2016-09-30,$572
2016-06-30,$726
2016-03-31,$733
2015-12-31,$594
2015-09-30,$461
2015-06-30,$629
2015-03-31,$735
2014-12-31,$536
2014-09-30,$445
2014-06-30,$647
2014-03-31,$673
2013-12-31,$489
2013-09-30,$404
2013-06-30,$577
2013-03-31,$607
2012-12-31,$406
2012-09-30,$378
2012-06-30,$518
2012-03-31,$527
2011-12-31,$391
2011-09-30,$310
2011-06-30,$465
2011-03-31,$472
2010-12-31,$325
2010-09-30,$239
2010-06-30,$-50
2010-03-31,$425
2009-12-31,$-35
2009-09-30,$195
2009-06-30,$294
2009-03-31,$324
2008-12-31,$523
2008-09-30,$64
2008-06-30,$180
2008-03-31,$-88
2007-12-31,$112
2007-09-30,$116
2007-06-30,$239
2007-03-31,$387
2006-12-31,$104
2006-09-30,$244
2006-06-30,$263
2006-03-31,$337
2005-12-31,$-151
2005-09-30,$187
2005-06-30,$293
2005-03-31,$261
