Marsh & McLennan ROA - Return on Assets Historical Data,Marsh & McLennan ROA - Return on Assets Historical Data,Marsh & McLennan ROA - Return on Assets Historical Data,Marsh & McLennan ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$2.02B,$33.05B,6.24%
2020-09-30,$2.03B,$32.68B,6.37%
2020-06-30,$2.02B,$32.17B,6.41%
2020-03-31,$1.78B,$31.39B,5.65%
2019-12-31,$1.74B,$31.36B,5.59%
2019-09-30,$1.50B,$31.10B,5.23%
2019-06-30,$1.48B,$32.12B,5.63%
2019-03-31,$1.68B,$30.14B,7.13%
2018-12-31,$1.65B,$21.58B,7.74%
2018-09-30,$1.53B,$21.13B,7.26%
2018-06-30,$1.64B,$21.16B,7.95%
2018-03-31,$1.61B,$21.38B,7.97%
2017-12-31,$1.49B,$20.43B,7.60%
2017-09-30,$1.90B,$19.69B,9.96%
2017-06-30,$1.89B,$19.44B,10.06%
2017-03-31,$1.86B,$18.97B,10.09%
2016-12-31,$1.77B,$18.19B,9.72%
2016-09-30,$1.71B,$18.36B,9.38%
2016-06-30,$1.65B,$18.08B,9.15%
2016-03-31,$1.60B,$18.13B,8.94%
2015-12-31,$1.60B,$18.22B,9.11%
2015-09-30,$1.52B,$17.72B,8.70%
2015-06-30,$1.49B,$17.41B,8.52%
2015-03-31,$1.50B,$16.83B,8.57%
2014-12-31,$1.47B,$17.79B,8.38%
2014-09-30,$1.47B,$17.99B,8.53%
2014-06-30,$1.43B,$17.59B,8.40%
2014-03-31,$1.39B,$16.58B,8.36%
2013-12-31,$1.36B,$16.98B,8.31%
2013-09-30,$1.31B,$16.98B,8.13%
2013-06-30,$1.30B,$15.84B,8.21%
2013-03-31,$1.24B,$15.54B,7.92%
2012-12-31,$1.18B,$16.29B,7.56%
2012-09-30,$1.18B,$15.74B,7.68%
2012-06-30,$1.07B,$15.20B,7.02%
2012-03-31,$1.02B,$15.01B,6.67%
2011-12-31,$0.99B,$15.45B,6.50%
2011-09-30,$0.93B,$15.12B,6.08%
2011-06-30,$0.96B,$15.45B,6.34%
2011-03-31,$0.92B,$15.07B,6.03%
2010-12-31,$0.84B,$15.31B,5.55%
2010-09-30,$0.67B,$14.90B,4.39%
2010-06-30,$0.72B,$15.62B,4.73%
2010-03-31,$0.30B,$14.96B,1.95%
2009-12-31,$0.22B,$15.34B,1.48%
2009-09-30,$0.29B,$15.34B,1.92%
2009-06-30,$0.06B,$14.92B,0.40%
2009-03-31,$0.32B,$14.86B,2.04%
2008-12-31,$-0.07B,$15.21B,-0.42%
2008-09-30,$-0.07B,$16.03B,-0.41%
2008-06-30,$1.89B,$16.43B,11.12%
2008-03-31,$2.00B,$16.47B,11.65%
2007-12-31,$2.48B,$17.36B,14.28%
2007-09-30,$2.62B,$17.54B,14.93%
2007-06-30,$0.85B,$17.19B,4.81%
2007-03-31,$0.84B,$17.23B,4.77%
2006-12-31,$0.99B,$18.14B,5.58%
2006-09-30,$0.80B,$17.82B,4.52%
2006-06-30,$0.69B,$17.44B,3.93%
2006-03-31,$0.69B,$17.52B,3.92%
2005-12-31,$0.40B,$17.89B,2.31%
