Date,Shares
2020-12-31,512
2020-09-30,512
2020-06-30,511
2020-03-31,510
2019-12-31,511
2019-09-30,511
2019-06-30,512
2019-03-31,511
2018-12-31,511
2018-09-30,510
2018-06-30,512
2018-03-31,514
2017-12-31,519
2017-09-30,519
2017-06-30,520
2017-03-31,522
2016-12-31,524
2016-09-30,523
2016-06-30,525
2016-03-31,526
2015-12-31,536
2015-09-30,533
2015-06-30,541
2015-03-31,545
2014-12-31,553
2014-09-30,551
2014-06-30,556
2014-03-31,556
2013-12-31,558
2013-09-30,558
2013-06-30,559
2013-03-31,557
2012-12-31,552
2012-09-30,552
2012-06-30,553
2012-03-31,551
2011-12-31,551
2011-09-30,549
2011-06-30,555
2011-03-31,552
2010-12-31,544
2010-09-30,548
2010-06-30,545
2010-03-31,536
2009-12-31,524
2009-09-30,526
2009-06-30,523
2009-03-31,515
2008-12-31,515
2008-09-30,516
2008-06-30,512
2008-03-31,519
2007-12-31,542
2007-09-30,540
2007-06-30,558
2007-03-31,562
2006-12-31,557
2006-09-30,554
2006-06-30,555
2006-03-31,555
2005-12-31,543
2005-09-30,544
2005-06-30,538
2005-03-31,536
