Date,EBIT
2020-12-31,"$4,430"
2020-09-30,"$3,487"
2020-06-30,"$4,355"
2020-03-31,"$2,146"
2019-12-31,"$2,733"
2019-09-30,"$2,710"
2019-06-30,"$2,903"
2019-03-31,"$2,955"
2018-12-31,"$1,857"
2018-09-30,"$2,851"
2018-06-30,"$3,109"
2018-03-31,"$3,420"
2017-12-31,"$2,471"
2017-09-30,"$2,482"
2017-06-30,"$2,642"
2017-03-31,"$2,808"
2016-12-31,"$2,246"
2016-09-30,"$2,381"
2016-06-30,"$2,483"
2016-03-31,"$1,738"
2015-12-31,"$1,439"
2015-09-30,"$1,474"
2015-06-30,"$2,727"
2015-03-31,"$2,855"
2014-12-31,"$-2,931"
2014-09-30,"$2,220"
2014-06-30,"$1,932"
2014-03-31,"$2,370"
2013-12-31,$-186
2013-09-30,"$1,365"
2013-06-30,"$1,796"
2013-03-31,"$1,583"
2012-12-31,$940
2012-09-30,"$-1,483"
2012-06-30,$937
2012-03-31,$202
2011-12-31,$-446
2011-09-30,"$3,685"
2011-06-30,"$1,970"
2011-03-31,$901
2010-12-31,"$1,179"
2010-09-30,$801
2010-06-30,"$1,703"
2010-03-31,"$2,515"
2009-12-31,$851
2009-09-30,"$1,493"
2009-06-30,$-584
2009-03-31,$-630
2008-12-31,"$-3,794"
2008-11-30,
2008-09-30,"$10,681"
2008-08-31,"$1,948"
2008-06-30,$886
2008-05-31,"$1,446"
2008-03-31,"$2,038"
2008-02-29,"$2,214"
2007-12-31,"$-6,469"
2007-11-30,
2007-08-31,"$2,265"
2007-05-31,"$3,524"
2007-02-28,"$3,456"
2006-11-30,
2006-08-31,"$2,244"
2006-05-31,"$2,863"
2006-02-28,"$2,460"
2005-11-30,
2005-08-31,"$1,742"
2005-05-31,"$1,394"
2005-02-28,"$2,095"
