M&T Bank Price/Book Ratio Historical Data,M&T Bank Price/Book Ratio Historical Data,M&T Bank Price/Book Ratio Historical Data,M&T Bank Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,153.63,,1.22
2020-12-31,126.38,$126.15,1.0
2020-09-30,90.57,$125.51,0.72
2020-06-30,101.17,$124.30,0.81
2020-03-31,99.61,$123.31,0.81
2019-12-31,162.21,$120.37,1.35
2019-09-30,149.95,$119.31,1.26
2019-06-30,160.34,$116.95,1.37
2019-03-31,147.12,$114.10,1.29
2018-12-31,133.33,$111.62,1.19
2018-09-30,152.37,$109.12,1.4
2018-06-30,156.69,$108.00,1.45
2018-03-31,168.99,$107.03,1.58
2017-12-31,156.12,$108.28,1.44
2017-09-30,146.38,$107.88,1.36
2017-06-30,146.47,$106.77,1.37
2017-03-31,139.28,$105.45,1.32
2016-12-31,140.18,$105.56,1.33
2016-09-30,103.54,$105.46,0.98
2016-06-30,104.82,$104.33,1.0
2016-03-31,97.83,$102.24,0.96
2015-12-31,106.11,$101.36,1.05
2015-09-30,106.19,$96.96,1.1
2015-06-30,108.15,$95.20,1.14
2015-03-31,109.31,$94.26,1.16
2014-12-31,107.5,$93.23,1.15
2014-09-30,104.93,$93.36,1.12
2014-06-30,104.98,$92.25,1.14
2014-03-31,102.06,$90.47,1.13
2013-12-31,97.36,$86.62,1.12
2013-09-30,93.04,$84.61,1.1
2013-06-30,92.33,$82.80,1.12
2013-03-31,84.67,$80.83,1.05
2012-12-31,80.27,$79.60,1.01
2012-09-30,77.02,$78.03,0.99
2012-06-30,66.3,$76.04,0.87
2012-03-31,69.16,$74.55,0.93
2011-12-31,60.25,$73.77,0.82
2011-09-30,54.61,$74.64,0.73
2011-06-30,68.08,$73.63,0.92
2011-03-31,67.94,$70.69,0.96
2010-12-31,66.32,$69.82,0.95
2010-09-30,61.76,$68.96,0.9
2010-06-30,63.61,$68.03,0.94
2010-03-31,58.93,$66.66,0.88
2009-12-31,49.22,$65.58,0.75
2009-09-30,45.36,$64.47,0.7
2009-06-30,36.65,$62.75,0.58
2009-03-31,32.1,$62.15,0.52
2008-12-31,40.0,$61.48,0.65
2008-09-30,61.52,$58.21,1.06
2008-06-30,48.15,$59.16,0.81
2008-03-31,54.5,$58.96,0.92
2007-12-31,54.8,$59.04,0.93
2007-09-30,68.93,$58.45,1.18
2007-06-30,70.75,$57.63,1.23
2007-03-31,76.25,$57.37,1.33
2006-12-31,80.03,$56.99,1.4
2006-09-30,78.19,$55.62,1.41
2006-06-30,76.49,$54.06,1.41
2006-03-31,73.65,$53.16,1.39
