Date,Shares
2020-12-31,129
2020-09-30,128
2020-06-30,128
2020-03-31,130
2019-12-31,134
2019-09-30,133
2019-06-30,135
2019-03-31,138
2018-12-31,144
2018-09-30,143
2018-06-30,145
2018-03-31,149
2017-12-31,153
2017-09-30,152
2017-06-30,153
2017-03-31,155
2016-12-31,157
2016-09-30,156
2016-06-30,158
2016-03-31,159
2015-12-31,138
2015-09-30,133
2015-06-30,133
2015-03-31,133
2014-12-31,132
2014-09-30,132
2014-06-30,132
2014-03-31,131
2013-12-31,130
2013-09-30,130
2013-06-30,129
2013-03-31,129
2012-12-31,126
2012-09-30,126
2012-06-30,126
2012-03-31,126
2011-12-31,123
2011-09-30,125
2011-06-30,123
2011-03-31,120
2010-12-31,119
2010-09-30,119
2010-06-30,119
2010-03-31,118
2009-12-31,115
2009-09-30,118
2009-06-30,114
2009-03-31,110
2008-12-31,111
2008-09-30,111
2008-06-30,111
2008-03-31,111
2007-12-31,110
2007-09-30,109
2007-06-30,110
2007-03-31,112
2006-12-31,114
2006-09-30,114
2006-06-30,114
2006-03-31,114
2005-12-31,116
2005-09-30,116
2005-06-30,116
2005-03-31,117
