Date,EBITDA
2020-12-31,$371
2020-09-30,$377
2020-06-30,$365
2020-03-31,$323
2019-12-31,$307
2019-09-30,$273
2019-06-30,$304
2019-03-31,$323
2018-12-31,$291
2018-09-30,$299
2018-06-30,$322
2018-03-31,$326
2017-12-31,$289
2017-09-30,$310
2017-06-30,$289
2017-03-31,$291
2016-12-31,$255
2016-09-30,$279
2016-06-30,$215
2016-03-31,$257
2015-12-31,$281
2015-09-30,$266
2015-06-30,$250
2015-03-31,$61
2014-12-31,$205
2014-09-30,$242
2014-06-30,$225
2014-03-31,$219
2013-12-31,$271
2013-09-30,$235
2013-06-30,$187
2013-03-31,$117
2012-12-31,$199
2012-09-30,$197
2012-06-30,$200
2012-03-31,$198
2011-12-31,$189
2011-09-30,$224
2011-06-30,$186
2011-03-31,$212
2010-12-31,$204
2010-09-30,$192
2010-06-30,$206
2010-03-31,$138
2009-12-31,$184
2009-09-30,$159
2009-06-30,$185
2009-03-31,$190
2008-12-31,$207
2008-09-30,$200
2008-06-30,$177
2008-03-31,$149
2007-12-31,$111
2007-09-30,$93
2007-06-30,$109
2007-03-31,$91
2006-12-31,$85
2006-09-30,$82
2006-06-30,$58
2006-03-31,$66
2005-12-31,$53
2005-09-30,$45
2005-06-30,$41
2005-03-31,$41
