Nasdaq ROA - Return on Assets Historical Data,Nasdaq ROA - Return on Assets Historical Data,Nasdaq ROA - Return on Assets Historical Data,Nasdaq ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.93B,$17.98B,6.00%
2020-09-30,$0.91B,$14.83B,6.27%
2020-06-30,$0.80B,$14.56B,5.67%
2020-03-31,$0.73B,$14.80B,5.23%
2019-12-31,$0.77B,$13.92B,5.57%
2019-09-30,$0.53B,$12.98B,3.68%
2019-06-30,$0.54B,$14.13B,3.65%
2019-03-31,$0.53B,$14.50B,3.51%
2018-12-31,$0.46B,$15.70B,2.98%
2018-09-30,$0.75B,$14.86B,4.89%
2018-06-30,$0.75B,$15.14B,4.92%
2018-03-31,$0.74B,$15.79B,4.85%
2017-12-31,$0.73B,$15.35B,4.89%
2017-09-30,$0.26B,$15.07B,1.76%
2017-06-30,$0.22B,$14.66B,1.50%
2017-03-31,$0.14B,$14.49B,0.97%
2016-12-31,$0.11B,$14.15B,0.73%
2016-09-30,$0.48B,$14.81B,3.47%
2016-06-30,$0.49B,$15.10B,3.72%
2016-03-31,$0.55B,$13.72B,4.46%
2015-12-31,$0.43B,$11.86B,3.57%
2015-09-30,$0.37B,$11.77B,3.05%
2015-06-30,$0.35B,$12.10B,2.87%
2015-03-31,$0.32B,$12.24B,2.55%
2014-12-31,$0.41B,$12.07B,3.26%
2014-09-30,$0.47B,$12.69B,3.65%
2014-06-30,$0.46B,$13.12B,3.59%
2014-03-31,$0.45B,$12.98B,3.57%
2013-12-31,$0.39B,$12.58B,3.33%
2013-09-30,$0.33B,$12.49B,3.07%
2013-06-30,$0.30B,$11.95B,3.10%
2013-03-31,$0.31B,$9.19B,3.42%
2012-12-31,$0.35B,$9.13B,3.91%
2012-09-30,$0.35B,$8.92B,3.40%
2012-06-30,$0.37B,$8.93B,3.27%
2012-03-31,$0.37B,$9.02B,2.92%
2011-12-31,$0.39B,$14.09B,2.60%
2011-09-30,$0.44B,$13.16B,2.87%
2011-06-30,$0.43B,$14.22B,2.94%
2011-03-31,$0.44B,$18.07B,3.21%
2010-12-31,$0.39B,$16.21B,3.35%
2010-09-30,$0.30B,$10.36B,2.90%
2010-06-30,$0.26B,$9.91B,2.39%
2010-03-31,$0.23B,$10.52B,2.06%
2009-12-31,$0.27B,$10.72B,2.26%
2009-09-30,$0.26B,$12.34B,2.10%
2009-06-30,$0.26B,$11.66B,2.17%
2009-03-31,$0.29B,$12.45B,2.59%
2008-12-31,$0.31B,$12.75B,3.08%
2008-09-30,$0.36B,$10.22B,4.63%
2008-06-30,$0.67B,$8.97B,11.21%
2008-03-31,$0.62B,$8.79B,13.23%
2007-12-31,$0.52B,$2.98B,15.07%
2007-09-30,$0.50B,$3.00B,13.86%
2007-06-30,$0.17B,$4.01B,4.44%
2007-03-31,$0.13B,$3.77B,3.55%
2006-12-31,$0.13B,$3.72B,3.90%
2006-09-30,$0.08B,$3.54B,2.82%
2006-06-30,$0.07B,$3.42B,2.96%
2006-03-31,$0.06B,$2.35B,3.71%
2005-12-31,$0.06B,$2.05B,4.30%
