Nelnet Debt/Equity Ratio Historical Data,Nelnet Debt/Equity Ratio Historical Data,Nelnet Debt/Equity Ratio Historical Data,Nelnet Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$20.02B,$2.63B,7.62
2020-09-30,$19.82B,$2.40B,8.25
2020-06-30,$20.27B,$2.34B,8.66
2020-03-31,$20.96B,$2.33B,9.01
2019-12-31,$21.32B,$2.39B,8.92
2019-09-30,$21.58B,$2.36B,9.17
2019-06-30,$21.89B,$2.33B,9.41
2019-03-31,$22.39B,$2.33B,9.61
2018-12-31,$22.91B,$2.32B,9.9
2018-09-30,$22.78B,$2.33B,9.79
2018-06-30,$22.92B,$2.29B,10.02
2018-03-31,$21.65B,$2.25B,9.64
2017-12-31,$21.80B,$2.17B,10.07
2017-09-30,$22.64B,$2.13B,10.63
2017-06-30,$23.19B,$2.13B,10.89
2017-03-31,$24.01B,$2.13B,11.29
2016-12-31,$25.12B,$2.07B,12.13
2016-09-30,$25.69B,$1.98B,12.97
2016-06-30,$26.81B,$1.91B,14.06
2016-03-31,$27.70B,$1.89B,14.68
2015-12-31,$28.53B,$1.89B,15.08
2015-09-30,$29.21B,$1.84B,15.92
2015-06-30,$28.44B,$1.81B,15.75
2015-03-31,$28.17B,$1.78B,15.82
2014-12-31,$28.37B,$1.73B,16.44
2014-09-30,$29.04B,$1.66B,17.52
2014-06-30,$29.79B,$1.58B,18.85
2014-03-31,$25.97B,$1.51B,17.16
2013-12-31,$26.33B,$1.44B,18.23
2013-09-30,$25.16B,$1.38B,18.26
2013-06-30,$24.98B,$1.32B,18.93
2013-03-31,$25.42B,$1.23B,20.73
2012-12-31,$25.44B,$1.17B,21.84
2012-09-30,$23.23B,$1.18B,19.75
2012-06-30,$24.12B,$1.15B,21.07
2012-03-31,$24.34B,$1.11B,21.97
2011-12-31,$24.79B,$1.07B,23.25
2011-09-30,$25.23B,$1.01B,24.94
2011-06-30,$23.88B,$0.99B,24.15
2011-03-31,$24.34B,$0.96B,25.48
2010-12-31,$24.99B,$0.91B,27.56
2010-09-30,$27.74B,$0.85B,32.85
2010-06-30,$27.69B,$0.87B,31.69
2010-03-31,$26.00B,$0.84B,30.99
2009-12-31,$25.09B,$0.79B,31.98
2009-09-30,$26.86B,$0.73B,36.9
2009-06-30,$27.43B,$0.68B,40.27
2009-03-31,$27.42B,$0.67B,40.83
2008-12-31,$27.21B,$0.64B,42.31
2008-09-30,$28.36B,$0.61B,46.51
2008-06-30,$27.85B,$0.58B,47.68
2008-03-31,$29.48B,$0.54B,54.79
2007-12-31,$28.55B,$0.61B,46.9
2007-09-30,$28.75B,$0.59B,48.57
2007-06-30,$28.26B,$0.61B,46.24
2007-03-31,$27.00B,$0.61B,44.17
2006-12-31,$26.13B,$0.67B,38.89
2006-09-30,$25.21B,$0.68B,37.01
2006-06-30,$24.79B,$0.75B,32.96
2006-03-31,$23.09B,$0.72B,32.19
2005-12-31,$22.15B,$0.65B,34.1
2005-09-30,$17.72B,$0.60B,29.68
2005-06-30,$16.79B,$0.52B,32.05
2005-03-31,$15.51B,$0.53B,29.52
