Nelnet Price/Book Ratio Historical Data,Nelnet Price/Book Ratio Historical Data,Nelnet Price/Book Ratio Historical Data,Nelnet Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,75.69,,1.1
2020-12-31,71.02,$68.54,1.04
2020-09-30,59.87,$62.68,0.96
2020-06-30,47.3,$60.95,0.78
2020-03-31,44.81,$58.36,0.77
2019-12-31,57.26,$60.18,0.95
2019-09-30,62.33,$59.32,1.05
2019-06-30,57.88,$58.64,0.99
2019-03-31,53.66,$58.13,0.92
2018-12-31,50.83,$57.50,0.88
2018-09-30,55.53,$57.02,0.97
2018-06-30,56.57,$56.05,1.01
2018-03-31,50.63,$55.09,0.92
2017-12-31,52.77,$53.06,0.99
2017-09-30,48.5,$52.07,0.93
2017-06-30,45.01,$50.90,0.88
2017-03-31,41.85,$50.40,0.83
2016-12-31,48.29,$49.18,0.98
2016-09-30,38.31,$46.82,0.82
2016-06-30,32.86,$44.85,0.73
2016-03-31,37.11,$44.41,0.84
2015-12-31,31.54,$43.05,0.73
2015-09-30,32.4,$40.91,0.79
2015-06-30,40.43,$39.93,1.01
2015-03-31,44.07,$38.56,1.14
2014-12-31,43.06,$37.32,1.15
2014-09-30,39.96,$35.81,1.12
2014-06-30,38.33,$34.09,1.12
2014-03-31,37.75,$32.54,1.16
2013-12-31,38.79,$31.14,1.25
2013-09-30,35.31,$29.72,1.19
2013-06-30,33.06,$28.39,1.16
2013-03-31,30.88,$26.36,1.17
2012-12-31,27.14,$25.00,1.09
2012-09-30,20.73,$24.85,0.83
2012-06-30,20.0,$24.18,0.83
2012-03-31,22.44,$23.41,0.96
2011-12-31,21.11,$22.62,0.93
2011-09-30,16.13,$21.31,0.76
2011-06-30,18.84,$20.37,0.92
2011-03-31,18.56,$19.71,0.94
2010-12-31,20.08,$18.76,1.07
2010-09-30,18.96,$17.47,1.09
2010-06-30,15.93,$17.66,0.9
2010-03-31,15.28,$16.76,0.91
2009-12-31,14.12,$15.73,0.9
2009-09-30,10.16,$14.61,0.7
2009-06-30,11.09,$13.67,0.81
2009-03-31,7.22,$13.49,0.53
2008-12-31,11.7,$13.05,0.9
2008-09-30,11.59,$12.32,0.94
2008-06-30,9.17,$11.81,0.78
2008-03-31,9.59,$10.89,0.88
2007-12-31,10.31,$12.31,0.84
2007-09-30,14.72,$11.97,1.23
2007-06-30,19.65,$12.43,1.58
2007-03-31,19.22,$12.32,1.56
2006-12-31,21.87,$12.79,1.71
2006-09-30,24.58,$12.98,1.89
2006-06-30,32.42,$13.91,2.33
2006-03-31,33.3,$13.19,2.52
