Northern Trust Debt/Equity Ratio Historical Data,Northern Trust Debt/Equity Ratio Historical Data,Northern Trust Debt/Equity Ratio Historical Data,Northern Trust Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$158.32B,$11.69B,13.55
2020-09-30,$140.50B,$11.58B,12.13
2020-06-30,$140.05B,$11.38B,12.3
2020-03-31,$150.83B,$10.88B,13.86
2019-12-31,$125.74B,$11.09B,11.34
2019-09-30,$113.55B,$10.81B,10.5
2019-06-30,$115.75B,$10.81B,10.71
2019-03-31,$111.25B,$10.62B,10.48
2018-12-31,$121.70B,$10.51B,11.58
2018-09-30,$122.01B,$10.37B,11.77
2018-06-30,$124.75B,$10.36B,12.04
2018-03-31,$119.45B,$10.23B,11.68
2017-12-31,$128.37B,$10.22B,12.57
2017-09-30,$121.24B,$10.17B,11.93
2017-06-30,$115.54B,$10.07B,11.48
2017-03-31,$111.51B,$9.98B,11.18
2016-12-31,$114.16B,$9.77B,11.68
2016-09-30,$110.51B,$9.58B,11.54
2016-06-30,$112.56B,$8.95B,12.57
2016-03-31,$108.97B,$8.83B,12.34
2015-12-31,$108.04B,$8.71B,12.41
2015-09-30,$111.21B,$8.79B,12.66
2015-06-30,$111.19B,$8.75B,12.71
2015-03-31,$98.34B,$8.61B,11.43
2014-12-31,$101.50B,$8.45B,12.01
2014-09-30,$102.61B,$8.54B,12.01
2014-06-30,$97.72B,$8.04B,12.15
2014-03-31,$95.88B,$7.95B,12.06
2013-12-31,$95.04B,$7.91B,12.01
2013-09-30,$88.15B,$7.82B,11.28
2013-06-30,$89.51B,$7.73B,11.59
2013-03-31,$85.55B,$7.61B,11.24
2012-12-31,$89.94B,$7.53B,11.95
2012-09-30,$86.10B,$7.53B,11.43
2012-06-30,$87.07B,$7.39B,11.78
2012-03-31,$84.38B,$7.22B,11.68
2011-12-31,$93.11B,$7.12B,13.08
2011-09-30,$88.95B,$7.15B,12.44
2011-06-30,$90.37B,$7.03B,12.86
2011-03-31,$85.75B,$6.93B,12.38
2010-12-31,$77.01B,$6.83B,11.28
2010-09-30,$73.96B,$6.77B,10.93
2010-06-30,$73.43B,$6.62B,11.09
2010-03-31,$69.87B,$6.45B,10.84
2009-12-31,$75.83B,$6.31B,12.01
2009-09-30,$71.68B,$6.22B,11.52
2009-06-30,$68.92B,$6.13B,11.25
2009-03-31,$71.94B,$6.53B,11.03
2008-12-31,$75.66B,$6.39B,11.84
2008-09-30,$74.41B,$4.84B,15.39
2008-06-30,$69.84B,$4.96B,14.07
2008-03-31,$72.72B,$4.76B,15.28
2007-12-31,$63.10B,$4.51B,13.99
2007-09-30,$58.74B,$4.36B,13.47
2007-06-30,$55.38B,$4.23B,13.1
2007-03-31,$55.49B,$4.04B,13.72
2006-12-31,$56.77B,$3.94B,14.39
2006-09-30,$51.27B,$3.94B,13.03
2006-06-30,$49.52B,$3.81B,13.0
2006-03-31,$46.49B,$3.70B,12.55
2005-12-31,$49.81B,$3.60B,13.83
2005-09-30,$44.90B,$3.53B,12.72
2005-06-30,$42.81B,$3.45B,12.42
2005-03-31,$44.40B,$3.36B,13.21
