Date,EPS
2020-12-31,$1.13
2020-09-30,$1.32
2020-06-30,$1.46
2020-03-31,$1.55
2019-12-31,$1.71
2019-09-30,$1.69
2019-06-30,$1.75
2019-03-31,$1.48
2018-12-31,$1.80
2018-09-30,$1.58
2018-06-30,$1.68
2018-03-31,$1.58
2017-12-31,$1.51
2017-09-30,$1.20
2017-06-30,$1.12
2017-03-31,$1.09
2016-12-31,$1.11
2016-09-30,$1.08
2016-06-30,$1.10
2016-03-31,$1.03
2015-12-31,$0.99
2015-09-30,$0.96
2015-06-30,$1.10
2015-03-31,$0.94
2014-12-31,$0.98
2014-09-30,$0.84
2014-06-30,$0.75
2014-03-31,$0.75
2013-12-31,$0.70
2013-09-30,$0.84
2013-06-30,$0.78
2013-03-31,$0.67
2012-12-31,$0.69
2012-09-30,$0.73
2012-06-30,$0.73
2012-03-31,$0.66
2011-12-31,$0.54
2011-09-30,$0.70
2011-06-30,$0.62
2011-03-31,$0.61
2010-12-31,$0.64
2010-09-30,$0.64
2010-06-30,$0.82
2010-03-31,$0.64
2009-12-31,$0.83
2009-09-30,$0.77
2009-06-30,$0.95
2009-03-31,$0.61
2008-12-31,$1.46
2008-09-30,$-0.66
2008-06-30,$0.96
2008-03-31,$1.71
2007-12-31,$0.54
2007-09-30,$0.93
2007-06-30,$0.92
2007-03-31,$0.84
2006-12-31,$0.76
2006-09-30,$0.74
2006-06-30,$0.76
2006-03-31,$0.74
2005-12-31,$0.66
2005-09-30,$0.67
2005-06-30,$0.68
2005-03-31,$0.63
