Date,EBITDA
2020-12-31,$669
2020-09-30,$322
2020-06-30,$516
2020-03-31,$-755
2019-12-31,$365
2019-09-30,$267
2019-06-30,$221
2019-03-31,$537
2018-12-31,$-125
2018-09-30,$349
2018-06-30,$263
2018-03-31,$12
2017-12-31,$371
2017-09-30,$83
2017-06-30,$169
2017-03-31,$185
2016-12-31,$211
2016-09-30,$181
2016-06-30,$165
2016-03-31,$197
2015-12-31,$158
2015-09-30,$198
2015-06-30,$166
2015-03-31,$170
2014-12-31,$104
2014-09-30,$130
2014-06-30,$109
2014-03-31,$307
2013-12-31,$151
2013-09-30,$159
2013-06-30,$306
2013-03-31,$95
2012-12-31,$-25
2012-09-30,$-20
2012-06-30,$-46
2012-03-31,$15
2011-12-31,$97
2011-09-30,$-154
2011-06-30,$-90
2011-03-31,$-11
2010-12-31,$-5
2010-09-30,$-52
2010-06-30,$88
2010-03-31,$40
2009-12-31,$-56
2009-09-30,$-18
2009-06-30,$-78
2009-03-31,$-89
2008-12-31,$-184
2008-09-30,$-69
2008-06-30,$-512
2008-03-31,$-37
2007-12-31,$24
2007-09-30,$38
2007-06-30,$172
2007-03-31,$161
2006-12-31,$157
2006-09-30,$174
2006-06-30,$191
2006-03-31,$176
2005-12-31,$215
2005-09-30,$184
2005-06-30,$193
2005-03-31,$171
