Date,EPS
2020-12-31,$1.71
2020-09-30,$0.83
2020-06-30,$1.34
2020-03-31,$-2.01
2019-12-31,$0.92
2019-09-30,$0.67
2019-06-30,$0.55
2019-03-31,$1.37
2018-12-31,$-0.35
2018-09-30,$0.92
2018-06-30,$0.66
2018-03-31,$0.01
2017-12-31,$1.01
2017-09-30,$0.17
2017-06-30,$0.35
2017-03-31,$0.39
2016-12-31,$0.45
2016-09-30,$0.39
2016-06-30,$0.35
2016-03-31,$0.43
2015-12-31,$0.32
2015-09-30,$0.44
2015-06-30,$0.36
2015-03-31,$0.36
2014-12-31,$0.23
2014-09-30,$0.30
2014-06-30,$0.24
2014-03-31,$0.67
2013-12-31,$0.33
2013-09-30,$0.36
2013-06-30,$0.67
2013-03-31,$0.21
2012-12-31,$-0.08
2012-09-30,$-0.06
2012-06-30,$-0.13
2012-03-31,$0.00
2011-12-31,$0.22
2011-09-30,$-0.46
2011-06-30,$-0.26
2011-03-31,$-0.05
2010-12-31,$-0.05
2010-09-30,$-0.16
2010-06-30,$0.23
2010-03-31,$0.11
2009-12-31,$-0.15
2009-09-30,$0.03
2009-06-30,$-0.07
2009-03-31,$-0.23
2008-12-31,$-0.54
2008-09-30,$-0.21
2008-06-30,$-1.58
2008-03-31,$-0.08
2007-12-31,$0.10
2007-09-30,$0.12
2007-06-30,$0.49
2007-03-31,$0.46
2006-12-31,$0.44
2006-09-30,$0.50
2006-06-30,$0.54
2006-03-31,$0.51
2005-12-31,$0.62
2005-09-30,$0.52
2005-06-30,$0.74
2005-03-31,$0.49
