People's United Financial ROA - Return on Assets Historical Data,People's United Financial ROA - Return on Assets Historical Data,People's United Financial ROA - Return on Assets Historical Data,People's United Financial ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.21B,$63.09B,0.33%
2020-09-30,$0.49B,$60.87B,0.81%
2020-06-30,$0.48B,$61.51B,0.82%
2020-03-31,$0.52B,$60.43B,0.94%
2019-12-31,$0.51B,$58.59B,0.96%
2019-09-30,$0.50B,$52.07B,1.01%
2019-06-30,$0.48B,$51.62B,1.01%
2019-03-31,$0.46B,$48.09B,1.00%
2018-12-31,$0.45B,$47.88B,1.01%
2018-09-30,$0.43B,$44.13B,0.97%
2018-06-30,$0.40B,$44.58B,0.91%
2018-03-31,$0.36B,$44.10B,0.82%
2017-12-31,$0.32B,$44.45B,0.75%
2017-09-30,$0.29B,$44.00B,0.70%
2017-06-30,$0.28B,$43.02B,0.68%
2017-03-31,$0.28B,$40.23B,0.70%
2016-12-31,$0.28B,$40.61B,0.70%
2016-09-30,$0.28B,$40.69B,0.70%
2016-06-30,$0.27B,$40.15B,0.70%
2016-03-31,$0.26B,$39.26B,0.69%
2015-12-31,$0.26B,$38.95B,0.69%
2015-09-30,$0.25B,$37.48B,0.69%
2015-06-30,$0.25B,$37.18B,0.68%
2015-03-31,$0.26B,$36.41B,0.73%
2014-12-31,$0.25B,$36.00B,0.73%
2014-09-30,$0.24B,$34.78B,0.72%
2014-06-30,$0.24B,$33.92B,0.73%
2014-03-31,$0.23B,$33.11B,0.72%
2013-12-31,$0.23B,$33.21B,0.73%
2013-09-30,$0.24B,$31.51B,0.76%
2013-06-30,$0.24B,$31.35B,0.79%
2013-03-31,$0.24B,$30.60B,0.82%
2012-12-31,$0.25B,$30.32B,0.86%
2012-09-30,$0.22B,$28.58B,0.79%
2012-06-30,$0.21B,$28.15B,0.76%
2012-03-31,$0.20B,$27.81B,0.73%
2011-12-31,$0.19B,$27.56B,0.73%
2011-09-30,$0.18B,$27.21B,0.70%
2011-06-30,$0.15B,$25.32B,0.63%
2011-03-31,$0.12B,$24.96B,0.50%
2010-12-31,$0.08B,$25.04B,0.36%
2010-09-30,$0.08B,$21.90B,0.36%
2010-06-30,$0.08B,$21.95B,0.37%
2010-03-31,$0.09B,$21.59B,0.42%
2009-12-31,$0.10B,$21.26B,0.47%
2009-09-30,$0.11B,$20.81B,0.53%
2009-06-30,$0.13B,$20.81B,0.63%
2009-03-31,$0.15B,$20.68B,0.72%
2008-12-31,$0.14B,$20.17B,0.68%
2008-09-30,$0.15B,$20.04B,0.80%
2008-06-30,$0.16B,$20.39B,0.94%
2008-03-31,$0.13B,$21.11B,0.86%
2007-12-31,$0.15B,$13.56B,1.16%
2007-09-30,$0.15B,$13.55B,1.17%
2007-06-30,$0.10B,$13.82B,0.89%
2007-03-31,$0.12B,$11.60B,1.12%
2006-12-31,$0.12B,$10.69B,1.14%
2006-09-30,$0.12B,$10.61B,1.10%
2006-06-30,$0.14B,$11.01B,1.25%
2006-03-31,$0.14B,$11.08B,1.71%
2005-12-31,$0.14B,$10.93B,1.68%
