Date,Shares
2020-12-31,423
2020-09-30,420
2020-06-30,420
2020-03-31,430
2019-12-31,397
2019-09-30,395
2019-06-30,395
2019-03-31,374
2018-12-31,352
2018-09-30,345
2018-06-30,345
2018-03-31,344
2017-12-31,333
2017-09-30,339
2017-06-30,339
2017-03-31,311
2016-12-31,304
2016-09-30,303
2016-06-30,303
2016-03-31,302
2015-12-31,300
2015-09-30,301
2015-06-30,300
2015-03-31,299
2014-12-31,298
2014-09-30,298
2014-06-30,298
2014-03-31,298
2013-12-31,312
2013-09-30,308
2013-06-30,314
2013-03-31,325
2012-12-31,338
2012-09-30,337
2012-06-30,341
2012-03-31,345
2011-12-31,349
2011-09-30,358
2011-06-30,344
2011-03-31,346
2010-12-31,353
2010-09-30,355
2010-06-30,358
2010-03-31,345
2009-12-31,332
2009-09-30,332
2009-06-30,332
2009-03-31,332
2008-12-31,330
2008-09-30,331
2008-06-30,330
2008-03-31,329
2007-12-31,292
2007-09-30,291
2007-06-30,292
2007-03-31,299
2006-12-31,299
2006-09-30,299
2006-06-30,299
2006-03-31,142
2005-12-31,296
2005-09-30,293
2005-06-30,299
2005-03-31,300
