Date,EPS
2020-12-31,$1.71
2020-09-30,$0.85
2020-06-30,$1.45
2020-03-31,$1.04
2019-12-31,$1.08
2019-09-30,$0.98
2019-06-30,$1.37
2019-03-31,$1.53
2018-12-31,$0.83
2018-09-30,$1.59
2018-06-30,$1.58
2018-03-31,$1.36
2017-12-31,$2.87
2017-09-30,$2.76
2017-06-30,$1.06
2017-03-31,$1.19
2016-12-31,$1.09
2016-09-30,$1.06
2016-06-30,$1.10
2016-03-31,$1.25
2015-12-31,$0.85
2015-09-30,$1.01
2015-06-30,$0.81
2015-03-31,$1.39
2014-12-31,$0.90
2014-09-30,$0.77
2014-06-30,$1.03
2014-03-31,$0.95
2013-12-31,$0.77
2013-09-30,$0.82
2013-06-30,$0.75
2013-03-31,$0.61
2012-12-31,$0.71
2012-09-30,$0.63
2012-06-30,$0.56
2012-03-31,$0.68
2011-12-31,$0.45
2011-09-30,$0.23
2011-06-30,$0.67
2011-03-31,$0.56
2010-12-31,$0.50
2010-09-30,$0.44
2010-06-30,$0.42
2010-03-31,$0.59
2009-12-31,$0.45
2009-09-30,$0.57
2009-06-30,$0.52
2009-03-31,$0.43
2008-12-31,$-0.03
2008-09-30,$0.35
2008-06-30,$0.64
2008-03-31,$0.67
2007-12-31,$0.15
2007-09-30,$0.87
2007-06-30,$1.12
2007-03-31,$0.95
2006-12-31,$1.05
2006-09-30,$0.92
2006-06-30,$0.76
2006-03-31,$1.01
2005-12-31,$0.87
2005-09-30,$0.74
2005-06-30,$0.82
2005-03-31,$0.68
