Date,Shares
2020-12-31,277
2020-09-30,277
2020-06-30,276
2020-03-31,277
2019-12-31,281
2019-09-30,281
2019-06-30,281
2019-03-31,281
2018-12-31,289
2018-09-30,288
2018-06-30,289
2018-03-31,293
2017-12-31,293
2017-09-30,293
2017-06-30,293
2017-03-31,292
2016-12-31,293
2016-09-30,291
2016-06-30,293
2016-03-31,294
2015-12-31,298
2015-09-30,299
2015-06-30,298
2015-03-31,299
2014-12-31,299
2014-09-30,298
2014-06-30,298
2014-03-31,300
2013-12-31,298
2013-09-30,299
2013-06-30,297
2013-03-31,297
2012-12-31,300
2012-09-30,298
2012-06-30,302
2012-03-31,305
2011-12-31,318
2011-09-30,315
2011-06-30,323
2011-03-31,325
2010-12-31,323
2010-09-30,323
2010-06-30,323
2010-03-31,322
2009-12-31,299
2009-09-30,322
2009-06-30,291
2009-03-31,261
2008-12-31,261
2008-09-30,261
2008-06-30,261
2008-03-31,261
2007-12-31,268
2007-09-30,267
2007-06-30,270
2007-03-31,271
2006-12-31,276
2006-09-30,272
2006-06-30,276
2006-03-31,282
2005-12-31,290
2005-09-30,284
2005-06-30,291
2005-03-31,301
