Progressive Price/Book Ratio Historical Data,Progressive Price/Book Ratio Historical Data,Progressive Price/Book Ratio Historical Data,Progressive Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,95.68,,3.29
2020-12-31,94.2,$29.12,3.24
2020-09-30,90.1,$30.89,2.92
2020-06-30,76.14,$28.48,2.67
2020-03-31,70.09,$24.52,2.86
2019-12-31,66.57,$23.39,2.85
2019-09-30,70.94,$24.16,2.94
2019-06-30,73.32,$22.82,3.21
2019-03-31,66.03,$20.74,3.18
2018-12-31,55.26,$18.56,2.98
2018-09-30,65.07,$20.34,3.2
2018-06-30,54.18,$18.89,2.87
2018-03-31,55.81,$17.73,3.15
2017-12-31,50.53,$15.96,3.17
2017-09-30,43.44,$15.97,2.72
2017-06-30,39.56,$15.48,2.56
2017-03-31,35.15,$14.67,2.4
2016-12-31,31.27,$13.72,2.28
2016-09-30,27.75,$13.94,1.99
2016-06-30,29.51,$13.47,2.19
2016-03-31,30.96,$12.97,2.39
2015-12-31,27.22,$12.49,2.18
2015-09-30,26.23,$12.76,2.05
2015-06-30,23.82,$12.56,1.9
2015-03-31,23.28,$12.26,1.9
2014-12-31,22.51,$11.79,1.91
2014-09-30,21.08,$11.77,1.79
2014-06-30,21.15,$11.48,1.84
2014-03-31,20.2,$10.86,1.86
2013-12-31,21.36,$10.39,2.06
2013-09-30,21.33,$11.32,1.88
2013-06-30,19.91,$10.87,1.83
2013-03-31,19.8,$10.59,1.87
2012-12-31,16.32,$9.94,1.64
2012-09-30,15.33,$10.84,1.41
2012-06-30,15.4,$10.32,1.49
2012-03-31,17.14,$10.23,1.68
2011-12-31,14.14,$9.47,1.49
2011-09-30,12.87,$9.37,1.37
2011-06-30,15.49,$9.88,1.57
2011-03-31,15.31,$9.64,1.59
2010-12-31,14.12,$9.13,1.55
2010-09-30,14.11,$10.12,1.39
2010-06-30,12.66,$9.44,1.34
2010-03-31,12.91,$9.26,1.39
2009-12-31,12.05,$8.55,1.41
2009-09-30,11.11,$8.13,1.37
2009-06-30,10.12,$7.24,1.4
2009-03-31,9.0,$6.32,1.42
2008-12-31,9.92,$6.23,1.59
2008-09-30,11.65,$6.31,1.85
2008-06-30,12.54,$7.12,1.76
2008-03-31,10.76,$7.01,1.54
2007-12-31,12.73,$7.26,1.75
2007-09-30,12.9,$7.65,1.68
2007-06-30,14.49,$7.60,1.91
2007-03-31,13.21,$9.41,1.4
2006-12-31,14.66,$9.15,1.6
2006-09-30,14.85,$8.81,1.68
2006-06-30,15.55,$8.28,1.88
2006-03-31,15.76,$32.28,0.49
