Date,Shares
2020-12-31,588
2020-09-30,588
2020-06-30,587
2020-03-31,587
2019-12-31,587
2019-09-30,587
2019-06-30,587
2019-03-31,587
2018-12-31,587
2018-09-30,587
2018-06-30,586
2018-03-31,586
2017-12-31,586
2017-09-30,586
2017-06-30,584
2017-03-31,583
2016-12-31,585
2016-09-30,585
2016-06-30,585
2016-03-31,586
2015-12-31,589
2015-09-30,589
2015-06-30,590
2015-03-31,591
2014-12-31,595
2014-09-30,594
2014-06-30,596
2014-03-31,598
2013-12-31,604
2013-09-30,604
2013-06-30,604
2013-03-31,604
2012-12-31,608
2012-09-30,607
2012-06-30,609
2012-03-31,610
2011-12-31,637
2011-09-30,631
2011-06-30,648
2011-03-31,656
2010-12-31,663
2010-09-30,661
2010-06-30,666
2010-03-31,666
2009-12-31,672
2009-09-30,673
2009-06-30,675
2009-03-31,672
2008-12-31,674
2008-09-30,673
2008-06-30,674
2008-03-31,677
2007-12-31,719
2007-09-30,711
2007-06-30,730
2007-03-31,745
2006-12-31,784
2006-09-30,772
2006-06-30,786
2006-03-31,792
2005-12-31,799
2005-09-30,795
2005-06-30,800
2005-03-31,808
