PNC Financial Services Debt/Equity Ratio Historical Data,PNC Financial Services Debt/Equity Ratio Historical Data,PNC Financial Services Debt/Equity Ratio Historical Data,PNC Financial Services Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$412.64B,$54.04B,7.64
2020-09-30,$408.51B,$53.31B,7.66
2020-06-30,$406.03B,$52.95B,7.67
2020-03-31,$396.20B,$49.29B,8.04
2019-12-31,$360.95B,$49.34B,7.32
2019-09-30,$359.46B,$49.46B,7.27
2019-06-30,$356.38B,$49.38B,7.22
2019-03-31,$344.26B,$48.58B,7.09
2018-12-31,$334.55B,$47.77B,7.0
2018-09-30,$332.98B,$47.10B,7.07
2018-06-30,$333.74B,$46.98B,7.11
2018-03-31,$332.13B,$47.04B,7.06
2017-12-31,$333.18B,$47.59B,7.0
2017-09-30,$328.74B,$46.45B,7.08
2017-06-30,$326.01B,$46.19B,7.06
2017-03-31,$325.04B,$45.90B,7.08
2016-12-31,$319.53B,$46.85B,6.82
2016-09-30,$322.50B,$46.85B,6.88
2016-06-30,$314.64B,$46.70B,6.74
2016-03-31,$314.66B,$46.33B,6.79
2015-12-31,$312.51B,$45.98B,6.8
2015-09-30,$315.85B,$46.28B,6.83
2015-06-30,$308.03B,$45.91B,6.71
2015-03-31,$304.52B,$46.44B,6.56
2014-12-31,$299.00B,$46.07B,6.49
2014-09-30,$288.43B,$46.00B,6.27
2014-06-30,$281.27B,$45.79B,6.14
2014-03-31,$278.51B,$44.92B,6.2
2013-12-31,$276.16B,$44.04B,6.27
2013-09-30,$265.78B,$42.82B,6.21
2013-06-30,$262.47B,$41.94B,6.26
2013-03-31,$258.73B,$42.08B,6.15
2012-12-31,$263.34B,$41.77B,6.31
2012-09-30,$259.00B,$41.80B,6.2
2012-06-30,$259.36B,$40.21B,6.45
2012-03-31,$257.65B,$38.24B,6.74
2011-12-31,$233.96B,$37.25B,6.28
2011-09-30,$232.23B,$37.24B,6.24
2011-06-30,$228.24B,$34.87B,6.55
2011-03-31,$225.66B,$33.72B,6.69
2010-12-31,$231.45B,$32.84B,7.05
2010-09-30,$227.47B,$32.67B,6.96
2010-06-30,$230.71B,$30.99B,7.44
2010-03-31,$235.96B,$29.43B,8.02
2009-12-31,$237.30B,$32.57B,7.29
2009-09-30,$239.74B,$31.66B,7.57
2009-06-30,$250.29B,$29.47B,8.49
2009-03-31,$257.77B,$28.66B,9.0
2008-12-31,$263.43B,$27.65B,9.53
2008-09-30,$131.39B,$14.22B,9.24
2008-06-30,$127.66B,$15.11B,8.45
2008-03-31,$125.57B,$14.42B,8.71
2007-12-31,$124.07B,$14.85B,8.35
2007-09-30,$116.83B,$14.54B,8.04
2007-06-30,$111.15B,$14.50B,7.66
2007-03-31,$107.82B,$14.74B,7.32
2006-12-31,$91.03B,$10.79B,8.44
2006-09-30,$87.68B,$10.76B,8.15
2006-06-30,$86.09B,$8.83B,9.75
2006-03-31,$84.48B,$8.78B,9.62
2005-12-31,$83.39B,$8.56B,9.74
2005-09-30,$84.92B,$8.32B,10.21
2005-06-30,$82.55B,$8.24B,10.02
2005-03-31,$75.78B,$7.58B,10.0
