Date,EPS
2020-12-31,$3.22
2020-09-30,$3.39
2020-06-30,$8.40
2020-03-31,$1.95
2019-12-31,$2.96
2019-09-30,$2.94
2019-06-30,$2.88
2019-03-31,$2.61
2018-12-31,$2.74
2018-09-30,$2.82
2018-06-30,$2.72
2018-03-31,$2.43
2017-12-31,$4.14
2017-09-30,$2.16
2017-06-30,$2.10
2017-03-31,$1.96
2016-12-31,$1.96
2016-09-30,$1.84
2016-06-30,$1.82
2016-03-31,$1.68
2015-12-31,$1.86
2015-09-30,$1.90
2015-06-30,$1.88
2015-03-31,$1.75
2014-12-31,$1.84
2014-09-30,$1.79
2014-06-30,$1.85
2014-03-31,$1.82
2013-12-31,$1.87
2013-09-30,$1.77
2013-06-30,$1.98
2013-03-31,$1.74
2012-12-31,$1.22
2012-09-30,$1.64
2012-06-30,$0.98
2012-03-31,$1.44
2011-12-31,$0.85
2011-09-30,$1.55
2011-06-30,$1.67
2011-03-31,$1.57
2010-12-31,$1.54
2010-09-30,$2.07
2010-06-30,$1.47
2010-03-31,$0.66
2009-12-31,$2.19
2009-09-30,$1.00
2009-06-30,$0.14
2009-03-31,$1.03
2008-12-31,$-0.80
2008-09-30,$0.70
2008-06-30,$1.45
2008-03-31,$1.09
2007-12-31,$0.45
2007-09-30,$1.19
2007-06-30,$1.22
2007-03-31,$1.46
2006-12-31,$1.25
2006-09-30,$5.01
2006-06-30,$1.28
2006-03-31,$1.19
2005-12-31,$1.19
2005-09-30,$1.14
2005-06-30,$0.98
2005-03-31,$1.24
