PNC Financial Services Price/Book Ratio Historical Data,PNC Financial Services Price/Book Ratio Historical Data,PNC Financial Services Price/Book Ratio Historical Data,PNC Financial Services Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,180.21,,1.41
2020-12-31,147.9,$127.46,1.16
2020-09-30,107.97,$125.73,0.86
2020-06-30,102.23,$124.58,0.82
2020-03-31,91.87,$116.25,0.79
2019-12-31,152.06,$113.69,1.34
2019-09-30,132.43,$112.65,1.18
2019-06-30,128.65,$110.47,1.16
2019-03-31,114.12,$107.47,1.06
2018-12-31,107.92,$104.53,1.03
2018-09-30,124.77,$101.95,1.22
2018-06-30,122.94,$101.02,1.22
2018-03-31,136.93,$100.07,1.37
2017-12-31,129.99,$100.60,1.29
2017-09-30,120.75,$97.59,1.24
2017-06-30,111.22,$96.22,1.16
2017-03-31,106.59,$94.65,1.13
2016-12-31,103.2,$96.61,1.07
2016-09-30,79.0,$95.99,0.82
2016-06-30,70.9,$94.72,0.75
2016-03-31,73.23,$92.84,0.79
2015-12-31,82.05,$91.23,0.9
2015-09-30,76.35,$90.74,0.84
2015-06-30,81.44,$88.98,0.92
2015-03-31,78.96,$89.30,0.88
2014-12-31,76.82,$88.10,0.87
2014-09-30,71.64,$87.11,0.82
2014-06-30,74.14,$86.08,0.86
2014-03-31,72.01,$84.12,0.86
2013-12-31,63.85,$82.62,0.77
2013-09-30,59.27,$80.49,0.74
2013-06-30,59.3,$78.98,0.75
2013-03-31,53.72,$79.54,0.68
2012-12-31,46.79,$79.10,0.59
2012-09-30,50.31,$79.02,0.64
2012-06-30,48.41,$76.02,0.64
2012-03-31,50.76,$72.42,0.7
2011-12-31,45.14,$70.68,0.64
2011-09-30,37.45,$70.80,0.53
2011-06-30,46.04,$66.30,0.69
2011-03-31,48.38,$64.10,0.75
2010-12-31,46.56,$62.43,0.75
2010-09-30,39.73,$62.10,0.64
2010-06-30,43.17,$59.03,0.73
2010-03-31,45.55,$55.96,0.81
2009-12-31,40.21,$70.49,0.57
2009-09-30,36.92,$68.68,0.54
2009-06-30,29.41,$63.92,0.46
2009-03-31,22.13,$64.40,0.34
2008-12-31,36.46,$62.41,0.58
2008-09-30,55.05,$40.86,1.35
2008-06-30,41.59,$43.66,0.95
2008-03-31,47.27,$42.30,1.12
2007-12-31,46.85,$43.56,1.08
2007-09-30,48.17,$43.14,1.12
2007-06-30,50.19,$42.41,1.18
2007-03-31,50.03,$42.60,1.17
2006-12-31,51.09,$36.82,1.39
2006-09-30,49.6,$36.59,1.36
2006-06-30,47.67,$29.92,1.59
2006-03-31,45.35,$29.67,1.53
