Date,Shares
2020-12-31,427
2020-09-30,426
2020-06-30,426
2020-03-31,430
2019-12-31,448
2019-09-30,445
2019-06-30,452
2019-03-31,456
2018-12-31,470
2018-09-30,467
2018-06-30,472
2018-03-31,476
2017-12-31,486
2017-09-30,483
2017-06-30,488
2017-03-31,492
2016-12-31,500
2016-09-30,496
2016-06-30,503
2016-03-31,507
2015-12-31,521
2015-09-30,520
2015-06-30,525
2015-03-31,529
2014-12-31,537
2014-09-30,537
2014-06-30,539
2014-03-31,539
2013-12-31,532
2013-09-30,534
2013-06-30,531
2013-03-31,528
2012-12-31,529
2012-09-30,529
2012-06-30,530
2012-03-31,529
2011-12-31,526
2011-09-30,526
2011-06-30,527
2011-03-31,526
2010-12-31,520
2010-09-30,526
2010-06-30,527
2010-03-31,500
2009-12-31,455
2009-09-30,461
2009-06-30,453
2009-03-31,444
2008-12-31,346
2008-09-30,347
2008-06-30,346
2008-03-31,342
2007-12-31,334
2007-09-30,340
2007-06-30,346
2007-03-31,312
2006-12-31,297
2006-09-30,296
2006-06-30,297
2006-03-31,296
2005-12-31,290
2005-09-30,292
2005-06-30,288
2005-03-31,284
