Date,EBIT
2020-12-31,$32
2020-09-30,$-139
2020-06-30,$-48
2020-03-31,$-30
2019-12-31,$-81
2019-09-30,$18
2019-06-30,$8
2019-03-31,$48
2018-12-31,$-34
2018-09-30,$40
2018-06-30,$35
2018-03-31,$14
2017-12-31,$40
2017-09-30,$42
2017-06-30,$32
2017-03-31,$47
2016-12-31,$70
2016-09-30,$50
2016-06-30,$54
2016-03-31,$26
2015-12-31,$34
2015-09-30,$13
2015-06-30,$46
2015-03-31,$51
2014-12-31,$90
2014-09-30,$50
2014-06-30,$71
2014-03-31,$66
2013-12-31,$116
2013-09-30,$87
2013-06-30,$65
2013-03-31,$100
2012-12-31,$158
2012-09-30,$86
2012-06-30,$80
2012-03-31,$76
2011-12-31,$209
2011-09-30,$64
2011-06-30,$78
2011-03-31,$67
2010-12-31,$151
2010-09-30,$69
2010-06-30,$61
2010-03-31,$54
2009-12-31,$126
2009-09-30,$83
2009-06-30,$78
2009-03-31,$38
2008-12-31,$113
2008-09-30,$28
2008-06-30,$62
2008-03-31,$52
2007-12-31,$77
2007-09-30,$63
2007-06-30,$56
2007-03-31,$53
2006-12-31,$53
2006-09-30,$49
2006-06-30,$45
2006-03-31,$41
2005-12-31,$40
2005-09-30,$29
2005-06-30,$27
2005-03-31,$22
