Primerica Price/Book Ratio Historical Data,Primerica Price/Book Ratio Historical Data,Primerica Price/Book Ratio Historical Data,Primerica Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,152.85,,3.5
2020-09-30,112.43,$43.70,2.57
2020-06-30,115.51,$41.41,2.79
2020-03-31,87.33,$37.82,2.31
2019-12-31,128.48,$40.10,3.2
2019-09-30,124.88,$38.75,3.22
2019-06-30,117.39,$37.75,3.11
2019-03-31,119.22,$35.88,3.32
2018-12-31,95.09,$34.23,2.78
2018-09-30,117.07,$33.59,3.49
2018-06-30,96.52,$32.45,2.97
2018-03-31,93.38,$32.46,2.88
2017-12-31,97.92,$32.07,3.05
2017-09-30,78.47,$28.85,2.72
2017-06-30,72.71,$28.18,2.58
2017-03-31,78.71,$27.37,2.88
2016-12-31,66.06,$26.71,2.47
2016-09-30,50.53,$26.56,1.9
2016-06-30,54.36,$25.91,2.1
2016-03-31,42.15,$24.80,1.7
2015-12-31,44.53,$23.72,1.88
2015-09-30,42.36,$23.61,1.79
2015-06-30,42.79,$23.90,1.79
2015-03-31,47.51,$24.04,1.98
2014-12-31,50.49,$23.87,2.12
2014-09-30,44.77,$24.11,1.86
2014-06-30,44.32,$24.04,1.84
2014-03-31,43.51,$22.97,1.89
2013-12-31,39.52,$22.29,1.77
2013-09-30,37.06,$21.86,1.7
2013-06-30,34.3,$21.03,1.63
2013-03-31,29.93,$23.07,1.3
2012-12-31,27.31,$22.62,1.21
2012-09-30,25.98,$22.39,1.16
2012-06-30,24.19,$21.33,1.13
2012-03-31,22.76,$21.24,1.07
2011-12-31,20.96,$20.45,1.03
2011-09-30,19.42,$21.31,0.91
2011-06-30,19.76,$21.02,0.94
2011-03-31,22.91,$20.37,1.12
2010-12-31,21.77,$19.65,1.11
2010-09-30,18.25,$19.20,0.95
2010-06-30,19.23,$18.12,1.06
