Prudential Financial Price/Book Ratio Historical Data,Prudential Financial Price/Book Ratio Historical Data,Prudential Financial Price/Book Ratio Historical Data,Prudential Financial Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,94.35,,0.55
2020-12-31,76.98,$172.06,0.45
2020-09-30,61.75,$169.16,0.37
2020-06-30,58.27,$168.54,0.35
2020-03-31,48.93,$155.06,0.32
2019-12-31,86.96,$159.76,0.54
2019-09-30,82.56,$166.50,0.5
2019-06-30,91.59,$154.23,0.59
2019-03-31,82.48,$136.12,0.61
2018-12-31,72.43,$119.38,0.61
2018-09-30,89.1,$113.62,0.78
2018-06-30,81.48,$116.33,0.7
2018-03-31,89.44,$123.92,0.72
2017-12-31,98.5,$129.00,0.76
2017-09-30,90.46,$119.05,0.76
2017-06-30,91.33,$113.90,0.8
2017-03-31,89.45,$109.42,0.82
2016-12-31,86.67,$107.29,0.81
2016-09-30,67.53,$131.97,0.51
2016-06-30,58.47,$125.77,0.46
2016-03-31,58.66,$111.17,0.53
2015-12-31,65.42,$93.77,0.7
2015-09-30,60.75,$95.16,0.64
2015-06-30,69.27,$93.58,0.74
2015-03-31,63.14,$100.49,0.63
2014-12-31,70.61,$93.11,0.76
2014-09-30,68.17,$92.25,0.74
2014-06-30,68.41,$90.81,0.75
2014-03-31,64.81,$84.04,0.77
2013-12-31,70.16,$77.82,0.9
2013-09-30,58.98,$75.70,0.78
2013-06-30,54.96,$77.23,0.71
2013-03-31,44.13,$87.02,0.51
2012-12-31,39.61,$84.11,0.47
2012-09-30,39.2,$84.84,0.46
2012-06-30,34.83,$82.89,0.42
2012-03-31,45.59,$75.61,0.6
2011-12-31,36.04,$74.12,0.49
2011-09-30,32.72,$79.89,0.41
2011-06-30,44.4,$73.01,0.61
2011-03-31,43.0,$68.19,0.63
2010-12-31,41.0,$67.78,0.6
2010-09-30,37.04,$72.96,0.51
2010-06-30,36.69,$64.89,0.57
2010-03-31,41.36,$59.08,0.7
2009-12-31,34.02,$55.44,0.61
2009-09-30,33.63,$53.63,0.63
2009-06-30,25.08,$40.38,0.62
2009-03-31,12.82,$31.79,0.4
2008-12-31,20.39,$32.57,0.63
2008-09-30,46.55,$44.13,1.05
2008-06-30,38.62,$50.36,0.77
2008-03-31,50.59,$51.65,0.98
2007-12-31,60.15,$52.20,1.15
2007-09-30,62.3,$50.38,1.24
2007-06-30,62.08,$49.49,1.25
2007-03-31,57.63,$50.33,1.14
2006-12-31,54.82,$48.39,1.13
2006-09-30,48.12,$48.40,0.99
2006-06-30,49.03,$44.17,1.11
2006-03-31,47.84,$45.22,1.06
