Prudential Financial ROA - Return on Assets Historical Data,Prudential Financial ROA - Return on Assets Historical Data,Prudential Financial ROA - Return on Assets Historical Data,Prudential Financial ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$-0.37B,$940.72B,-0.04%
2020-09-30,$-0.07B,$911.59B,-0.01%
2020-06-30,$-0.13B,$915.39B,-0.02%
2020-03-31,$2.98B,$873.71B,0.34%
2019-12-31,$4.19B,$896.55B,0.48%
2019-09-30,$3.90B,$885.63B,0.46%
2019-06-30,$4.15B,$873.83B,0.49%
2019-03-31,$3.64B,$849.32B,0.44%
2018-12-31,$4.07B,$815.08B,0.50%
2018-09-30,$7.00B,$822.75B,0.85%
2018-06-30,$7.56B,$819.86B,0.92%
2018-03-31,$7.86B,$829.68B,0.95%
2017-12-31,$7.86B,$832.14B,0.96%
2017-09-30,$4.38B,$821.13B,0.55%
2017-06-30,$3.97B,$812.59B,0.49%
2017-03-31,$4.40B,$797.37B,0.55%
2016-12-31,$4.37B,$783.96B,0.55%
2016-09-30,$4.82B,$819.87B,0.61%
2016-06-30,$4.46B,$796.49B,0.58%
2016-03-31,$4.94B,$773.00B,0.65%
2015-12-31,$5.64B,$757.26B,0.74%
2015-09-30,$3.45B,$754.53B,0.45%
2015-06-30,$2.50B,$762.73B,0.32%
2015-03-31,$2.18B,$778.61B,0.28%
2014-12-31,$1.38B,$766.66B,0.18%
2014-09-30,$2.38B,$764.15B,0.32%
2014-06-30,$2.90B,$765.54B,0.39%
2014-03-31,$1.29B,$746.74B,0.18%
2013-12-31,$-0.67B,$731.78B,-0.09%
2013-09-30,$-0.39B,$723.13B,-0.05%
2013-06-30,$-2.00B,$705.62B,-0.28%
2013-03-31,$0.74B,$724.10B,0.11%
2012-12-31,$0.52B,$709.24B,0.08%
2012-09-30,$1.39B,$671.70B,0.22%
2012-06-30,$3.57B,$647.46B,0.57%
2012-03-31,$2.13B,$637.74B,0.34%
2011-12-31,$3.63B,$620.24B,0.59%
2011-09-30,$2.93B,$611.47B,0.50%
2011-06-30,$2.58B,$613.38B,0.45%
2011-03-31,$2.87B,$599.01B,0.53%
2010-12-31,$3.00B,$539.85B,0.58%
2010-09-30,$4.88B,$526.92B,0.98%
2010-06-30,$4.72B,$495.99B,0.97%
2010-03-31,$3.81B,$491.86B,0.80%
2009-12-31,$3.12B,$480.20B,0.68%
2009-09-30,$-0.32B,$475.47B,-0.07%
2009-06-30,$-1.58B,$444.72B,-0.36%
2009-03-31,$-1.16B,$427.53B,-0.26%
2008-12-31,$-1.12B,$445.01B,-0.24%
2008-09-30,$1.29B,$460.40B,0.27%
2008-06-30,$2.34B,$474.61B,0.49%
2008-03-31,$2.60B,$478.32B,0.55%
2007-12-31,$3.66B,$485.81B,0.78%
2007-09-30,$3.87B,$480.41B,0.83%
2007-06-30,$4.21B,$461.81B,0.92%
2007-03-31,$3.82B,$458.91B,0.85%
2006-12-31,$3.43B,$454.27B,0.77%
2006-09-30,$2.76B,$446.90B,0.64%
2006-06-30,$2.91B,$440.68B,0.69%
2006-03-31,$3.34B,$433.62B,0.80%
2005-12-31,$3.54B,$413.37B,0.86%
