Date,Shares
2020-12-31,396
2020-09-30,397
2020-06-30,395
2020-03-31,397
2019-12-31,411
2019-09-30,409
2019-06-30,414
2019-03-31,418
2018-12-31,426
2018-09-30,425
2018-06-30,428
2018-03-31,431
2017-12-31,436
2017-09-30,435
2017-06-30,437
2017-03-31,439
2016-12-31,447
2016-09-30,444
2016-06-30,449
2016-03-31,453
2015-12-31,460
2015-09-30,460
2015-06-30,461
2015-03-31,463
2014-12-31,468
2014-09-30,467
2014-06-30,469
2014-03-31,470
2013-12-31,463
2013-09-30,472
2013-06-30,464
2013-03-31,464
2012-12-31,468
2012-09-30,464
2012-06-30,474
2012-03-31,469
2011-12-31,489
2011-09-30,489
2011-06-30,495
2011-03-31,494
2010-12-31,475
2010-09-30,473
2010-06-30,473
2010-03-31,472
2009-12-31,448
2009-09-30,465
2009-06-30,434
2009-03-31,423
2008-12-31,430
2008-09-30,424
2008-06-30,436
2008-03-31,447
2007-12-31,466
2007-09-30,465
2007-06-30,475
2007-03-31,477
2006-12-31,494
2006-09-30,491
2006-06-30,497
2006-03-31,504
2005-12-31,521
2005-09-30,518
2005-06-30,525
2005-03-31,530
