Prospect Capital Debt/Equity Ratio Historical Data,Prospect Capital Debt/Equity Ratio Historical Data,Prospect Capital Debt/Equity Ratio Historical Data,Prospect Capital Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$2.24B,$3.46B,0.65
2020-09-30,$2.26B,$3.18B,0.71
2020-06-30,$2.24B,$3.06B,0.73
2020-03-31,$2.28B,$2.93B,0.78
2019-12-31,$2.25B,$3.18B,0.71
2019-09-30,$2.33B,$3.26B,0.71
2019-06-30,$2.49B,$3.31B,0.75
2019-03-31,$2.52B,$3.33B,0.76
2018-12-31,$2.67B,$3.30B,0.81
2018-09-30,$2.77B,$3.43B,0.81
2018-06-30,$2.43B,$3.41B,0.71
2018-03-31,$2.51B,$3.35B,0.75
2017-12-31,$2.57B,$3.35B,0.77
2017-09-30,$2.69B,$3.29B,0.82
2017-06-30,$2.82B,$3.36B,0.84
2017-03-31,$2.76B,$3.39B,0.81
2016-12-31,$2.72B,$3.46B,0.79
2016-09-30,$2.82B,$3.44B,0.82
2016-06-30,$2.80B,$3.44B,0.82
2016-03-31,$2.82B,$3.42B,0.83
2015-12-31,$2.90B,$3.43B,0.85
2015-09-30,$2.96B,$3.61B,0.82
2015-06-30,$3.10B,$3.70B,0.84
2015-03-31,$3.06B,$3.70B,0.83
2014-12-31,$3.01B,$3.71B,0.81
2014-09-30,$3.19B,$3.65B,0.87
2014-06-30,$2.86B,$3.62B,0.79
2014-03-31,$2.79B,$3.56B,0.78
2013-12-31,$1.96B,$3.23B,0.61
2013-09-30,$1.87B,$2.91B,0.64
2013-06-30,$1.79B,$2.66B,0.67
2013-03-31,$1.49B,$2.56B,0.58
2012-12-31,$1.20B,$2.33B,0.52
2012-09-30,$1.03B,$1.88B,0.55
2012-06-30,$0.74B,$1.51B,0.49
2012-03-31,$0.50B,$1.32B,0.38
2011-12-31,$0.63B,$1.17B,0.54
2011-09-30,$0.59B,$1.14B,0.52
2011-06-30,$0.44B,$1.11B,0.39
2011-03-31,$0.43B,$0.91B,0.47
2010-12-31,$0.17B,$0.90B,0.19
2010-09-30,$0.07B,$0.80B,0.08
2010-06-30,$0.12B,$0.71B,0.17
2010-03-31,$0.10B,$0.65B,0.16
2009-12-31,$0.05B,$0.64B,0.08
2009-09-30,$0.01B,$0.61B,0.01
2009-06-30,$0.13B,$0.53B,0.25
2009-03-31,$0.16B,$0.44B,0.36
2008-12-31,$0.16B,$0.43B,0.37
2008-09-30,$0.16B,$0.43B,0.36
2008-06-30,$0.11B,$0.43B,0.26
2008-03-31,$0.11B,$0.37B,0.29
2007-12-31,$0.13B,$0.35B,0.37
2007-09-30,$0.07B,$0.30B,0.22
2007-06-30,$0.08B,$0.30B,0.26
2007-03-31,$0.01B,$0.30B,0.04
2006-12-31,$0.01B,$0.29B,0.03
2006-09-30,$0.00B,$0.19B,0.02
2006-06-30,$0.03B,$0.11B,0.28
2006-03-31,$0.00B,$0.11B,0.01
2005-12-31,$0.00B,$0.10B,0.02
2005-09-30,$0.00B,$0.10B,0.01
2005-06-30,$0.00B,$0.10B,0.01
2005-03-31,$0.00B,$0.10B,0.02
