Date,EPS
2020-12-31,$0.80
2020-09-30,$0.45
2020-06-30,$0.45
2020-03-31,$-0.51
2019-12-31,$-0.03
2019-09-30,$0.05
2019-06-30,$0.10
2019-03-31,$0.24
2018-12-31,$-0.18
2018-09-30,$0.23
2018-06-30,$0.32
2018-03-31,$0.14
2017-12-31,$0.34
2017-09-30,$0.03
2017-06-30,$0.14
2017-03-31,$0.05
2016-12-31,$0.28
2016-09-30,$0.23
2016-06-30,$0.27
2016-03-31,$0.21
2015-12-31,$-0.27
2015-09-30,$0.08
2015-06-30,$0.27
2015-03-31,$0.23
2014-12-31,$0.24
2014-09-30,$0.24
2014-06-30,$0.19
2014-03-31,$0.26
2013-12-31,$0.30
2013-09-30,$0.31
2013-06-30,$0.34
2013-03-31,$0.20
2012-12-31,$0.24
2012-09-30,$0.29
2012-06-30,$0.27
2012-03-31,$0.44
2011-12-31,$0.59
2011-09-30,$0.37
2011-06-30,$0.28
2011-03-31,$0.38
2010-12-31,$0.38
2010-09-30,$0.34
2010-06-30,$0.30
2010-03-31,$0.41
2009-12-31,$-0.25
2009-09-30,$-0.13
2009-06-30,$-0.09
2009-03-31,$0.51
2008-12-31,$0.22
2008-09-30,$0.47
2008-06-30,$0.95
2008-03-31,$-0.05
2007-12-31,$-0.16
2007-09-30,$0.43
2007-06-30,$0.18
2007-03-31,$0.26
2006-12-31,$0.22
2006-09-30,$0.40
2006-06-30,$0.84
2006-03-31,$0.42
2005-12-31,$0.36
2005-09-30,$0.21
2005-06-30,$1.04
2005-03-31,$0.12
