Prospect Capital Price/Book Ratio Historical Data,Prospect Capital Price/Book Ratio Historical Data,Prospect Capital Price/Book Ratio Historical Data,Prospect Capital Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,8.0,,0.89
2020-12-31,5.27,$9.00,0.59
2020-09-30,4.74,$8.40,0.56
2020-06-30,4.65,$8.18,0.57
2020-03-31,3.73,$7.98,0.47
2019-12-31,5.46,$8.66,0.63
2019-09-30,5.44,$8.87,0.61
2019-06-30,5.24,$9.01,0.58
2019-03-31,5.1,$9.08,0.56
2018-12-31,4.8,$9.02,0.53
2018-09-30,5.53,$9.39,0.59
2018-06-30,4.94,$9.35,0.53
2018-03-31,4.69,$9.23,0.51
2017-12-31,4.7,$9.28,0.51
2017-09-30,4.56,$9.12,0.5
2017-06-30,5.34,$9.32,0.57
2017-03-31,5.77,$9.43,0.61
2016-12-31,5.19,$9.62,0.54
2016-09-30,4.88,$9.60,0.51
2016-06-30,4.57,$9.62,0.48
2016-03-31,4.12,$9.61,0.43
2015-12-31,3.81,$9.65,0.39
2015-09-30,3.76,$10.17,0.37
2015-06-30,3.75,$10.31,0.36
2015-03-31,4.17,$10.30,0.4
2014-12-31,3.95,$10.35,0.38
2014-09-30,4.56,$10.47,0.44
2014-06-30,4.74,$10.56,0.45
2014-03-31,4.67,$10.68,0.44
2013-12-31,4.71,$10.73,0.44
2013-09-30,4.55,$10.72,0.42
2013-06-30,4.27,$10.72,0.4
2013-03-31,4.19,$10.71,0.39
2012-12-31,4.05,$10.81,0.37
2012-09-30,4.17,$10.88,0.38
2012-06-30,4.02,$10.83,0.37
2012-03-31,3.77,$10.82,0.35
2011-12-31,3.1,$10.69,0.29
2011-09-30,2.72,$10.41,0.26
2011-06-30,3.16,$10.36,0.3
2011-03-31,3.71,$10.33,0.36
2010-12-31,3.2,$10.25,0.31
2010-09-30,2.79,$10.24,0.27
2010-06-30,2.69,$10.30,0.26
2010-03-31,3.35,$10.09,0.33
2009-12-31,3.05,$10.06,0.3
2009-09-30,2.58,$11.11,0.23
2009-06-30,2.12,$12.40,0.17
2009-03-31,1.97,$14.19,0.14
2008-12-31,2.65,$14.43,0.18
2008-09-30,2.73,$14.63,0.19
2008-06-30,2.73,$14.55,0.19
2008-03-31,3.06,$14.15,0.22
2007-12-31,2.56,$14.58,0.18
2007-09-30,3.24,$15.08,0.22
2007-06-30,3.25,$15.04,0.22
2007-03-31,3.12,$15.18,0.21
2006-12-31,3.05,$15.24,0.2
2006-09-30,2.7,$14.86,0.18
2006-06-30,2.89,$15.31,0.19
2006-03-31,2.74,$14.81,0.18
