Prospect Capital ROA - Return on Assets Historical Data,Prospect Capital ROA - Return on Assets Historical Data,Prospect Capital ROA - Return on Assets Historical Data,Prospect Capital ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.45B,$5.70B,8.33%
2020-09-30,$0.13B,$5.44B,2.51%
2020-06-30,$-0.02B,$5.30B,-0.30%
2020-03-31,$-0.14B,$5.22B,-2.54%
2019-12-31,$0.14B,$5.43B,2.38%
2019-09-30,$0.08B,$5.59B,1.36%
2019-06-30,$0.15B,$5.80B,2.44%
2019-03-31,$0.22B,$5.85B,3.69%
2018-12-31,$0.18B,$5.97B,3.07%
2018-09-30,$0.37B,$6.20B,6.25%
2018-06-30,$0.30B,$5.84B,5.09%
2018-03-31,$0.24B,$5.85B,3.96%
2017-12-31,$0.20B,$5.92B,3.37%
2017-09-30,$0.18B,$5.98B,2.99%
2017-06-30,$0.25B,$6.17B,4.07%
2017-03-31,$0.30B,$6.15B,4.77%
2016-12-31,$0.35B,$6.18B,5.67%
2016-09-30,$0.16B,$6.26B,2.50%
2016-06-30,$0.10B,$6.24B,1.64%
2016-03-31,$0.10B,$6.25B,1.60%
2015-12-31,$0.11B,$6.33B,1.65%
2015-09-30,$0.29B,$6.57B,4.32%
2015-06-30,$0.35B,$6.80B,5.11%
2015-03-31,$0.32B,$6.76B,4.82%
2014-12-31,$0.32B,$6.72B,4.91%
2014-09-30,$0.32B,$6.83B,5.20%
2014-06-30,$0.32B,$6.48B,5.59%
2014-03-31,$0.33B,$6.35B,6.35%
2013-12-31,$0.29B,$5.19B,6.32%
2013-09-30,$0.25B,$4.78B,6.02%
2013-06-30,$0.22B,$4.45B,5.89%
2013-03-31,$0.17B,$4.05B,5.43%
2012-12-31,$0.18B,$3.53B,6.81%
2012-09-30,$0.20B,$2.91B,8.97%
2012-06-30,$0.19B,$2.26B,10.00%
2012-03-31,$0.18B,$1.82B,10.50%
2011-12-31,$0.17B,$1.80B,10.28%
2011-09-30,$0.13B,$1.73B,9.35%
2011-06-30,$0.12B,$1.55B,9.84%
2011-03-31,$0.11B,$1.34B,10.39%
2010-12-31,$0.10B,$1.08B,11.21%
2010-09-30,$0.05B,$0.87B,6.62%
2010-06-30,$0.02B,$0.83B,2.77%
2010-03-31,$0.00B,$0.75B,0.59%
2009-12-31,$-0.01B,$0.69B,-1.09%
2009-09-30,$0.02B,$0.62B,2.43%
2009-06-30,$0.04B,$0.67B,5.72%
2009-03-31,$0.06B,$0.60B,10.34%
2008-12-31,$0.04B,$0.59B,8.01%
2008-09-30,$0.03B,$0.59B,6.33%
2008-06-30,$0.03B,$0.54B,6.00%
2008-03-31,$0.01B,$0.48B,2.12%
2007-12-31,$0.02B,$0.48B,3.90%
2007-09-30,$0.02B,$0.37B,6.47%
2007-06-30,$0.02B,$0.38B,5.74%
2007-03-31,$0.02B,$0.32B,7.62%
2006-12-31,$0.02B,$0.30B,8.70%
2006-09-30,$0.02B,$0.19B,11.79%
2006-06-30,$0.01B,$0.14B,11.48%
2006-03-31,$0.01B,$0.11B,13.37%
2005-12-31,$0.01B,$0.11B,11.68%
