Date,EPS
2020-12-31,$0.62
2020-09-30,$0.52
2020-06-30,$-0.25
2020-03-31,$0.14
2019-12-31,$0.37
2019-09-30,$0.39
2019-06-30,$0.37
2019-03-31,$0.37
2018-12-31,$0.37
2018-09-30,$0.50
2018-06-30,$0.32
2018-03-31,$0.35
2017-12-31,$0.27
2017-09-30,$0.25
2017-06-30,$0.25
2017-03-31,$0.23
2016-12-31,$0.23
2016-09-30,$0.24
2016-06-30,$0.20
2016-03-31,$0.20
2015-12-31,$0.21
2015-09-30,$0.18
2015-06-30,$0.20
2015-03-31,$0.16
2014-12-31,$0.14
2014-09-30,$0.22
2014-06-30,$0.21
2014-03-31,$0.22
2013-12-31,$0.14
2013-09-30,$0.20
2013-06-30,$0.18
2013-03-31,$0.23
2012-12-31,$0.19
2012-09-30,$0.21
2012-06-30,$0.20
2012-03-31,$0.11
2011-12-31,$-0.47
2011-09-30,$0.08
2011-06-30,$0.04
2011-03-31,$0.01
2010-12-31,$0.04
2010-09-30,$-0.17
2010-06-30,$-0.28
2010-03-31,$-0.21
2009-12-31,$-0.66
2009-09-30,$-0.37
2009-06-30,$-0.28
2009-03-31,$0.04
2008-12-31,$-8.98
2008-09-30,$0.11
2008-06-30,$0.30
2008-03-31,$0.48
2007-12-31,$0.12
2007-09-30,$0.56
2007-06-30,$0.63
2007-03-31,$0.45
2006-12-31,$0.51
2006-09-30,$0.77
2006-06-30,$0.75
2006-03-31,$0.64
2005-12-31,$0.56
2005-09-30,$0.55
2005-06-30,$0.53
2005-03-31,$0.51
