Date,Shares
2020-12-31,962
2020-09-30,962
2020-06-30,960
2020-03-31,961
2019-12-31,999
2019-09-30,991
2019-06-30,1012
2019-03-31,1028
2018-12-31,1102
2018-09-30,1095
2018-06-30,1128
2018-03-31,1141
2017-12-31,1198
2017-09-30,1193
2017-06-30,1212
2017-03-31,1224
2016-12-31,1261
2016-09-30,1252
2016-06-30,1268
2016-03-31,1291
2015-12-31,1334
2015-09-30,1326
2015-06-30,1346
2015-03-31,1358
2014-12-31,1387
2014-09-30,1389
2014-06-30,1390
2014-03-31,1390
2013-12-31,1410
2013-09-30,1405
2013-06-30,1418
2013-03-31,1423
2012-12-31,1387
2012-09-30,1423
2012-06-30,1418
2012-03-31,1283
2011-12-31,1258
2011-09-30,1261
2011-06-30,1260
2011-03-31,1259
2010-12-31,1227
2010-09-30,1257
2010-06-30,1200
2010-03-31,1194
2009-12-31,989
2009-09-30,1189
2009-06-30,876
2009-03-31,694
2008-12-31,695
2008-09-30,696
2008-06-30,696
2008-03-31,696
2007-12-31,713
2007-09-30,704
2007-06-30,716
2007-03-31,735
2006-12-31,507
2006-09-30,459
2006-06-30,460
2006-03-31,461
2005-12-31,466
2005-09-30,464
2005-06-30,468
2005-03-31,471
