Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,5.360000,5.470000,5.330000,5.420000,4.279910,11754800
2010-01-05,5.360000,5.610000,5.360000,5.600000,4.422047,23691300
2010-01-06,5.610000,5.690000,5.550000,5.670000,4.477323,22415300
2010-01-07,5.660000,6.220000,5.620000,6.170000,4.872147,41430700
2010-01-08,6.150000,6.290000,6.070000,6.180000,4.880045,25980300
2010-01-11,6.270000,6.370000,6.070000,6.320000,4.990597,27433000
2010-01-12,6.260000,6.350000,6.200000,6.250000,4.935320,32974200
2010-01-13,6.220000,6.480000,6.080000,6.360000,5.022183,41055600
2010-01-14,6.340000,6.570000,6.300000,6.550000,5.172215,31881500
2010-01-15,6.500000,6.550000,6.270000,6.520000,5.148526,28504300
2010-01-19,6.410000,6.560000,6.360000,6.510000,5.140628,22996900
2010-01-20,6.460000,6.740000,6.410000,6.730000,5.314354,32758200
2010-01-21,6.780000,7.270000,6.760000,6.860000,5.417007,81428500
2010-01-22,6.800000,6.850000,6.490000,6.600000,5.211699,48623600
2010-01-25,6.600000,6.690000,6.300000,6.550000,5.172215,34139700
2010-01-26,6.250000,6.470000,6.060000,6.080000,4.801080,67534400
2010-01-27,6.050000,6.340000,6.050000,6.170000,4.872147,38492200
2010-01-28,6.350000,6.550000,6.190000,6.430000,5.077458,38907900
2010-01-29,6.490000,6.570000,6.320000,6.350000,5.014287,29037400
2010-02-01,6.410000,6.660000,6.390000,6.640000,5.243283,30603000
2010-02-02,6.690000,6.780000,6.500000,6.580000,5.195907,35671900
2010-02-03,6.480000,6.550000,6.280000,6.390000,5.045872,34371800
2010-02-04,6.330000,6.340000,6.030000,6.120000,4.832667,41144000
2010-02-05,6.130000,6.240000,5.910000,6.180000,4.880045,24816400
2010-02-08,6.180000,6.440000,6.060000,6.230000,4.919529,25259900
2010-02-09,6.320000,6.450000,6.250000,6.290000,4.966905,21901600
2010-02-10,6.270000,6.480000,6.250000,6.360000,5.022183,18117800
2010-02-11,6.420000,6.510000,6.360000,6.380000,5.037976,19687200
2010-02-12,6.320000,6.390000,6.210000,6.350000,5.014287,22126400
2010-02-16,6.410000,6.650000,6.360000,6.620000,5.227492,17782600
2010-02-17,6.660000,6.700000,6.420000,6.460000,5.101146,16534700
2010-02-18,6.410000,6.460000,6.310000,6.420000,5.069561,18949400
2010-02-19,6.400000,6.620000,6.390000,6.570000,5.188009,14485500
2010-02-22,6.600000,6.870000,6.570000,6.810000,5.377527,23729800
2010-02-23,6.730000,6.760000,6.500000,6.530000,5.156423,20854700
2010-02-24,6.550000,6.700000,6.530000,6.640000,5.243283,20217300
2010-02-25,6.480000,6.570000,6.400000,6.540000,5.164319,18802500
2010-02-26,6.540000,6.770000,6.500000,6.750000,5.330147,19859000
2010-03-01,6.760000,6.830000,6.550000,6.650000,5.251180,16291900
2010-03-02,6.670000,6.750000,6.560000,6.610000,5.219596,16207600
2010-03-03,6.610000,6.690000,6.590000,6.620000,5.227492,12900100
2010-03-04,6.600000,6.700000,6.580000,6.670000,5.266973,11836200
2010-03-05,6.740000,6.850000,6.690000,6.840000,5.401214,18875100
2010-03-08,6.820000,7.020000,6.820000,6.980000,5.511765,19023600
2010-03-09,6.930000,7.000000,6.760000,6.910000,5.456491,22997500
2010-03-10,7.010000,7.620000,6.940000,7.290000,5.756557,40783500
2010-03-11,7.340000,7.460000,7.250000,7.380000,5.827626,24929300
2010-03-12,7.510000,7.540000,7.270000,7.340000,5.796039,29002600
2010-03-15,7.280000,7.380000,7.110000,7.230000,5.709179,19977400
2010-03-16,7.300000,7.530000,7.210000,7.510000,5.938495,22336300
2010-03-17,7.600000,7.770000,7.550000,7.700000,6.088737,25224500
2010-03-18,7.730000,7.740000,7.340000,7.500000,5.930586,26623500
2010-03-19,7.380000,7.600000,7.320000,7.380000,5.835698,22666300
2010-03-22,7.290000,7.640000,7.160000,7.620000,6.025476,19801300
2010-03-23,7.620000,7.740000,7.500000,7.730000,6.112458,23056900
2010-03-24,7.680000,7.900000,7.620000,7.850000,6.207348,26987400
2010-03-25,7.970000,8.050000,7.650000,7.690000,6.080829,35378100
2010-03-26,7.750000,7.910000,7.560000,7.630000,6.033385,22603200
2010-03-29,7.690000,7.780000,7.520000,7.640000,6.041292,17755000
2010-03-30,7.610000,7.650000,7.500000,7.620000,6.025476,12744700
2010-03-31,7.550000,7.880000,7.520000,7.850000,6.207348,21527100
