Date,EBIT
2020-12-31,$216
2020-09-30,$332
2020-06-30,$241
2020-03-31,$-49
2019-12-31,$358
2019-09-30,$400
2019-06-30,$311
2019-03-31,$265
2018-12-31,$185
2018-09-30,$363
2018-06-30,$292
2018-03-31,$183
2017-12-31,$301
2017-09-30,$385
2017-06-30,$375
2017-03-31,$257
2016-12-31,$343
2016-09-30,$337
2016-06-30,$380
2016-03-31,$147
2015-12-31,$249
2015-09-30,$181
2015-06-30,$255
2015-03-31,$226
2014-12-31,$271
2014-09-30,$270
2014-06-30,$338
2014-03-31,$237
2013-12-31,$267
2013-09-30,$235
2013-06-30,$-42
2013-03-31,$310
2012-12-31,$353
2012-09-30,$234
2012-06-30,$242
2012-03-31,$207
2011-12-31,$221
2011-09-30,$186
2011-06-30,$216
2011-03-31,$255
2010-12-31,$245
2010-09-30,$224
2010-06-30,$225
2010-03-31,$211
2009-12-31,$185
2009-09-30,$190
2009-06-30,$237
2009-03-31,$59
2008-12-31,$49
2008-09-30,$49
2008-06-30,$200
2008-03-31,$87
2007-12-31,$147
2007-09-30,$145
2007-06-30,$160
2007-03-31,$152
2006-12-31,$159
2006-09-30,$149
2006-06-30,$105
2006-03-31,$128
2005-12-31,$115
2005-09-30,$127
2005-06-30,$29
2005-03-31,$126
