Date,EBITDA
2020-12-31,$216
2020-09-30,$332
2020-06-30,$248
2020-03-31,$-57
2019-12-31,$363
2019-09-30,$401
2019-06-30,$305
2019-03-31,$259
2018-12-31,$196
2018-09-30,$345
2018-06-30,$308
2018-03-31,$162
2017-12-31,$323
2017-09-30,$345
2017-06-30,$358
2017-03-31,$240
2016-12-31,$313
2016-09-30,$331
2016-06-30,$360
2016-03-31,$137
2015-12-31,$264
2015-09-30,$158
2015-06-30,$238
2015-03-31,$204
2014-12-31,$264
2014-09-30,$242
2014-06-30,$312
2014-03-31,$212
2013-12-31,$242
2013-09-30,$208
2013-06-30,$-63
2013-03-31,$287
2012-12-31,$331
2012-09-30,$242
2012-06-30,$208
2012-03-31,$172
2011-12-31,$149
2011-09-30,$154
2011-06-30,$175
2011-03-31,$227
2010-12-31,$205
2010-09-30,$184
2010-06-30,$177
2010-03-31,$194
2009-12-31,$144
2009-09-30,$156
2009-06-30,$212
2009-03-31,$24
2008-12-31,$33
2008-09-30,$26
2008-06-30,$172
2008-03-31,$64
2007-12-31,$125
2007-09-30,$120
2007-06-30,$140
2007-03-31,$143
2006-12-31,$146
2006-09-30,$135
2006-06-30,$90
2006-03-31,$116
2005-12-31,$105
2005-09-30,$114
2005-06-30,$18
2005-03-31,$121
