Date,EPS
2020-12-31,$2.12
2020-09-30,$3.12
2020-06-30,$2.48
2020-03-31,$-1.41
2019-12-31,$3.67
2019-09-30,$4.12
2019-06-30,$3.18
2019-03-31,$2.65
2018-12-31,$1.67
2018-09-30,$4.68
2018-06-30,$3.13
2018-03-31,$1.52
2017-12-31,$18.48
2017-09-30,$3.47
2017-06-30,$3.54
2017-03-31,$2.22
2016-12-31,$2.91
2016-09-30,$3.07
2016-06-30,$3.64
2016-03-31,$1.17
2015-12-31,$2.46
2015-09-30,$1.25
2015-06-30,$1.94
2015-03-31,$1.81
2014-12-31,$2.74
2014-09-30,$2.28
2014-06-30,$2.84
2014-03-31,$1.92
2013-12-31,$2.05
2013-09-30,$1.93
2013-06-30,$-0.69
2013-03-31,$2.49
2012-12-31,$2.99
2012-09-30,$1.95
2012-06-30,$1.91
2012-03-31,$1.67
2011-12-31,$1.88
2011-09-30,$1.81
2011-06-30,$1.66
2011-03-31,$2.02
2010-12-31,$2.11
2010-09-30,$1.72
2010-06-30,$1.70
2010-03-31,$1.64
2009-12-31,$1.52
2009-09-30,$1.61
2009-06-30,$2.10
2009-03-31,$0.32
2008-12-31,$0.09
2008-09-30,$0.40
2008-06-30,$1.73
2008-03-31,$0.49
2007-12-31,$0.99
2007-09-30,$1.19
2007-06-30,$1.20
2007-03-31,$1.19
2006-12-31,$1.29
2006-09-30,$1.17
2006-06-30,$1.01
2006-03-31,$1.10
2005-12-31,$1.08
2005-09-30,$1.06
2005-06-30,$0.34
2005-03-31,$1.04
