Date,EBITDA
2020-12-31,$446
2020-09-30,$525
2020-06-30,$361
2020-03-31,$411
2019-12-31,$395
2019-09-30,$528
2019-06-30,$445
2019-03-31,$383
2018-12-31,$465
2018-09-30,$468
2018-06-30,$420
2018-03-31,$394
2017-12-31,$375
2017-09-30,$307
2017-06-30,$342
2017-03-31,$219
2016-12-31,$265
2016-09-30,$313
2016-06-30,$254
2016-03-31,$244
2015-12-31,$233
2015-09-30,$294
2015-06-30,$222
2015-03-31,$209
2014-12-31,$245
2014-09-30,$251
2014-06-30,$222
2014-03-31,$186
2013-12-31,$216
2013-09-30,$184
2013-06-30,$161
2013-03-31,$141
2012-12-31,$207
2012-09-30,$187
2012-06-30,$208
2012-03-31,$129
2011-12-31,$137
2011-09-30,$146
2011-06-30,$153
2011-03-31,$157
2010-12-31,$164
2010-09-30,$144
2010-06-30,$133
2010-03-31,$129
2009-12-31,$118
2009-09-30,$114
2009-06-30,$114
2009-03-31,$97
2008-12-31,$161
2008-09-30,$175
2008-06-30,$184
2008-03-31,$229
2007-12-31,$252
2007-09-30,$266
2007-06-30,$245
2007-03-31,$213
2006-12-31,$202
2006-09-30,$196
2006-06-30,$181
2006-03-31,$160
2005-12-31,$124
2005-09-30,$110
2005-06-30,$87
2005-03-31,$88
