Date,EPS
2020-12-31,$2.23
2020-09-30,$1.51
2020-06-30,$1.23
2020-03-31,$1.20
2019-12-31,$1.89
2019-09-30,$1.87
2019-06-30,$1.80
2019-03-31,$1.81
2018-12-31,$1.69
2018-09-30,$1.77
2018-06-30,$1.55
2018-03-31,$1.63
2017-12-31,$0.80
2017-09-30,$1.32
2017-06-30,$1.24
2017-03-31,$0.77
2016-12-31,$1.00
2016-09-30,$1.18
2016-06-30,$0.87
2016-03-31,$0.87
2015-12-31,$0.73
2015-09-30,$0.88
2015-06-30,$0.91
2015-03-31,$0.77
2014-12-31,$0.87
2014-09-30,$0.94
2014-06-30,$0.85
2014-03-31,$0.72
2013-12-31,$0.81
2013-09-30,$0.82
2013-06-30,$0.59
2013-03-31,$0.56
2012-12-31,$0.61
2012-09-30,$0.60
2012-06-30,$0.55
2012-03-31,$0.52
2011-12-31,$0.53
2011-09-30,$0.53
2011-06-30,$0.37
2011-03-31,$0.64
2010-12-31,$0.65
2010-09-30,$0.55
2010-06-30,$0.48
2010-03-31,$0.45
2009-12-31,$0.35
2009-09-30,$0.35
2009-06-30,$0.35
2009-03-31,$0.05
2008-12-31,$0.50
2008-09-30,$0.37
2008-06-30,$0.59
2008-03-31,$0.50
2007-12-31,$0.47
2007-09-30,$0.54
2007-06-30,$0.57
2007-03-31,$0.50
2006-12-31,$0.50
2006-09-30,$0.44
2006-06-30,$0.48
2006-03-31,$0.53
2005-12-31,$0.40
2005-09-30,$0.39
2005-06-30,$0.29
2005-03-31,$0.30
