Raymond James Financial ROA - Return on Assets Historical Data,Raymond James Financial ROA - Return on Assets Historical Data,Raymond James Financial ROA - Return on Assets Historical Data,Raymond James Financial ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.86B,$53.66B,1.76%
2020-09-30,$0.82B,$47.48B,1.79%
2020-06-30,$0.87B,$44.68B,2.01%
2020-03-31,$0.96B,$49.81B,2.29%
2019-12-31,$1.05B,$40.15B,2.70%
2019-09-30,$1.03B,$38.83B,2.68%
2019-06-30,$1.03B,$38.68B,2.70%
2019-03-31,$1.00B,$38.18B,2.67%
2018-12-31,$0.99B,$38.54B,2.66%
2018-09-30,$0.86B,$37.41B,2.35%
2018-06-30,$0.79B,$36.36B,2.20%
2018-03-31,$0.74B,$36.03B,2.10%
2017-12-31,$0.61B,$36.09B,1.77%
2017-09-30,$0.64B,$34.88B,1.91%
2017-06-30,$0.61B,$33.43B,1.89%
2017-03-31,$0.56B,$32.93B,1.78%
2016-12-31,$0.57B,$31.67B,1.90%
2016-09-30,$0.53B,$31.49B,1.84%
2016-06-30,$0.49B,$28.84B,1.78%
2016-03-31,$0.50B,$27.75B,1.87%
2015-12-31,$0.48B,$26.91B,1.87%
2015-09-30,$0.50B,$26.47B,2.00%
2015-06-30,$0.51B,$24.81B,2.10%
2015-03-31,$0.50B,$24.97B,2.09%
2014-12-31,$0.49B,$24.25B,2.10%
2014-09-30,$0.48B,$23.33B,2.11%
2014-06-30,$0.46B,$23.07B,2.03%
2014-03-31,$0.42B,$22.87B,1.88%
2013-12-31,$0.40B,$21.92B,1.77%
2013-09-30,$0.37B,$23.19B,1.63%
2013-06-30,$0.33B,$22.21B,1.49%
2013-03-31,$0.32B,$22.74B,1.47%
2012-12-31,$0.31B,$22.28B,1.47%
2012-09-30,$0.29B,$21.16B,1.46%
2012-06-30,$0.27B,$21.17B,1.42%
2012-03-31,$0.24B,$19.28B,1.36%
2011-12-31,$0.26B,$17.89B,1.53%
2011-09-30,$0.27B,$18.01B,1.68%
2011-06-30,$0.27B,$16.12B,1.70%
2011-03-31,$0.28B,$15.28B,1.81%
2010-12-31,$0.26B,$14.85B,1.63%
2010-09-30,$0.22B,$17.88B,1.39%
2010-06-30,$0.19B,$14.88B,1.21%
2010-03-31,$0.17B,$15.28B,1.05%
2009-12-31,$0.13B,$14.69B,0.74%
2009-09-30,$0.15B,$18.23B,0.81%
2009-06-30,$0.15B,$17.83B,0.79%
2009-03-31,$0.18B,$18.12B,0.94%
2008-12-31,$0.23B,$18.28B,1.23%
2008-09-30,$0.23B,$20.71B,1.22%
2008-06-30,$0.25B,$18.28B,1.43%
2008-03-31,$0.25B,$18.08B,1.47%
2007-12-31,$0.25B,$17.10B,1.56%
2007-09-30,$0.25B,$16.25B,1.71%
2007-06-30,$0.24B,$15.67B,1.78%
2007-03-31,$0.23B,$14.17B,1.86%
2006-12-31,$0.23B,$12.28B,2.05%
2006-09-30,$0.22B,$11.52B,2.07%
2006-06-30,$0.21B,$10.79B,2.18%
2006-03-31,$0.18B,$10.07B,2.08%
2005-12-31,$0.16B,$9.13B,1.89%
