Date,Shares
2020-12-31,140
2020-09-30,140
2020-06-30,139
2020-03-31,141
2019-12-31,142
2019-09-30,144
2019-06-30,144
2019-03-31,144
2018-12-31,147
2018-09-30,149
2018-06-30,149
2018-03-31,149
2017-12-31,148
2017-09-30,147
2017-06-30,147
2017-03-31,147
2016-12-31,146
2016-09-30,145
2016-06-30,144
2016-03-31,144
2015-12-31,146
2015-09-30,146
2015-06-30,146
2015-03-31,146
2014-12-31,145
2014-09-30,144
2014-06-30,144
2014-03-31,144
2013-12-31,143
2013-09-30,141
2013-06-30,141
2013-03-31,141
2012-12-31,139
2012-09-30,132
2012-06-30,137
2012-03-31,131
2011-12-31,124
2011-09-30,123
2011-06-30,124
2011-03-31,123
2010-12-31,122
2010-09-30,120
2010-06-30,120
2010-03-31,120
2009-12-31,119
2009-09-30,117
2009-06-30,118
2009-03-31,117
2008-12-31,117
2008-09-30,117
2008-06-30,118
2008-03-31,120
2007-12-31,120
2007-09-30,119
2007-06-30,119
2007-03-31,119
2006-12-31,118
2006-09-30,116
2006-06-30,117
2006-03-31,116
2005-12-31,114
2005-09-30,113
2005-06-30,113
2005-03-31,114
