Date,EPS
2020-12-31,$1.85
2020-09-30,$0.93
2020-06-30,$2.04
2020-03-31,$-1.36
2019-12-31,$1.17
2019-09-30,$0.71
2019-06-30,$0.89
2019-03-31,$1.46
2018-12-31,$-0.46
2018-09-30,$0.88
2018-06-30,$0.74
2018-03-31,$0.27
2017-12-31,$1.28
2017-09-30,$0.04
2017-06-30,$0.59
2017-03-31,$0.45
2016-12-31,$0.73
2016-09-30,$0.50
2016-06-30,$0.65
2016-03-31,$0.71
2015-12-31,$0.77
2015-09-30,$0.81
2015-06-30,$0.84
2015-03-31,$0.70
2014-12-31,$0.85
2014-09-30,$0.76
2014-06-30,$0.82
2014-03-31,$0.66
2013-12-31,$0.78
2013-09-30,$0.86
2013-06-30,$0.69
2013-03-31,$0.57
2012-12-31,$0.57
2012-09-30,$0.60
2012-06-30,$0.58
2012-03-31,$0.65
2011-12-31,$0.69
2011-09-30,$0.56
2011-06-30,$1.06
2011-03-31,$0.65
2010-12-31,$0.97
2010-09-30,$0.67
2010-06-30,$0.83
2010-03-31,$0.57
2009-12-31,$0.71
2009-09-30,$0.71
2009-06-30,$0.79
2009-03-31,$-0.04
2008-12-31,$0.15
2008-09-30,$0.20
2008-06-30,$0.89
2008-03-31,$0.57
2007-12-31,$0.69
2007-09-30,$1.28
2007-06-30,$1.02
2007-03-31,$0.66
2006-12-31,$1.10
2006-09-30,$0.61
2006-06-30,$0.45
2006-03-31,$0.49
2005-12-31,$0.34
2005-09-30,$0.48
2005-06-30,$0.66
2005-03-31,$0.56
