RLI ROA - Return on Assets Historical Data,RLI ROA - Return on Assets Historical Data,RLI ROA - Return on Assets Historical Data,RLI ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.16B,$3.94B,4.26%
2020-09-30,$0.13B,$3.79B,3.52%
2020-06-30,$0.12B,$3.62B,3.30%
2020-03-31,$0.06B,$3.38B,1.85%
2019-12-31,$0.19B,$3.55B,5.56%
2019-09-30,$0.12B,$3.51B,3.51%
2019-06-30,$0.12B,$3.38B,3.85%
2019-03-31,$0.12B,$3.24B,3.73%
2018-12-31,$0.06B,$3.11B,2.09%
2018-09-30,$0.14B,$3.07B,4.73%
2018-06-30,$0.10B,$3.01B,3.52%
2018-03-31,$0.10B,$2.89B,3.32%
2017-12-31,$0.11B,$2.95B,3.63%
2017-09-30,$0.08B,$2.96B,2.81%
2017-06-30,$0.10B,$2.88B,3.52%
2017-03-31,$0.10B,$2.78B,3.63%
2016-12-31,$0.11B,$2.78B,4.02%
2016-09-30,$0.12B,$2.91B,4.11%
2016-06-30,$0.13B,$2.89B,4.64%
2016-03-31,$0.14B,$2.76B,4.96%
2015-12-31,$0.14B,$2.74B,4.95%
2015-09-30,$0.14B,$2.83B,5.04%
2015-06-30,$0.14B,$2.82B,4.88%
2015-03-31,$0.14B,$2.78B,4.81%
2014-12-31,$0.14B,$2.78B,4.73%
2014-09-30,$0.13B,$2.93B,4.64%
2014-06-30,$0.14B,$2.91B,4.84%
2014-03-31,$0.13B,$2.79B,4.72%
2013-12-31,$0.13B,$2.74B,4.65%
2013-09-30,$0.12B,$2.89B,4.36%
2013-06-30,$0.11B,$2.68B,3.93%
2013-03-31,$0.10B,$2.62B,3.74%
2012-12-31,$0.10B,$2.65B,3.83%
2012-09-30,$0.11B,$2.75B,4.01%
2012-06-30,$0.11B,$2.69B,3.96%
2012-03-31,$0.13B,$2.68B,4.68%
2011-12-31,$0.13B,$2.66B,4.75%
2011-09-30,$0.14B,$2.79B,5.23%
2011-06-30,$0.14B,$2.73B,5.44%
2011-03-31,$0.13B,$2.52B,5.11%
2010-12-31,$0.13B,$2.52B,4.94%
2010-09-30,$0.12B,$2.67B,4.54%
2010-06-30,$0.12B,$2.61B,4.71%
2010-03-31,$0.12B,$2.57B,4.73%
2009-12-31,$0.09B,$2.54B,3.77%
2009-09-30,$0.07B,$2.56B,2.80%
2009-06-30,$0.05B,$2.48B,1.92%
2009-03-31,$0.05B,$2.40B,2.10%
2008-12-31,$0.08B,$2.42B,3.12%
2008-09-30,$0.11B,$2.51B,4.06%
2008-06-30,$0.16B,$2.60B,5.93%
2008-03-31,$0.17B,$2.61B,6.23%
2007-12-31,$0.18B,$2.63B,6.44%
2007-09-30,$0.20B,$2.81B,7.22%
2007-06-30,$0.17B,$2.81B,6.09%
2007-03-31,$0.14B,$2.75B,5.18%
2006-12-31,$0.14B,$2.77B,4.93%
2006-09-30,$0.10B,$2.77B,3.55%
2006-06-30,$0.09B,$2.68B,3.40%
2006-03-31,$0.10B,$2.74B,3.84%
2005-12-31,$0.11B,$2.74B,4.03%
