Date,EPS
2020-12-31,$0.58
2020-09-30,$0.48
2020-06-30,$0.48
2020-03-31,$0.58
2019-12-31,$0.62
2019-09-30,$0.70
2019-06-30,$0.66
2019-03-31,$0.69
2018-12-31,$0.65
2018-09-30,$0.65
2018-06-30,$0.60
2018-03-31,$0.55
2017-12-31,$0.41
2017-09-30,$0.42
2017-06-30,$0.39
2017-03-31,$0.39
2016-12-31,$0.37
2016-09-30,$0.35
2016-06-30,$0.30
2016-03-31,$0.29
2015-12-31,$0.28
2015-09-30,$0.28
2015-06-30,$0.25
2015-03-31,$0.22
2014-12-31,$0.24
2014-09-30,$0.24
2014-06-30,$0.23
2014-03-31,$0.24
2013-12-31,$0.23
2013-09-30,$0.22
2013-06-30,$0.18
2013-03-31,$0.15
2012-12-31,$0.15
2012-09-30,$0.19
2012-06-30,$0.20
2012-03-31,$0.15
2011-12-31,$0.12
2011-09-30,$0.18
2011-06-30,$0.20
2011-03-31,$0.20
2010-12-31,$0.11
2010-09-30,$0.10
2010-06-30,$0.17
2010-03-31,$0.00
2009-12-31,$0.14
2009-09-30,$0.17
2009-06-30,$0.18
2009-03-31,$0.19
2008-12-31,$0.27
2008-09-30,$0.26
2008-06-30,$0.26
2008-03-31,$0.26
2007-12-31,$0.23
2007-09-30,$1.28
2007-06-30,$0.23
2007-03-31,$0.22
2006-12-31,$0.36
2006-09-30,$0.21
2006-06-30,$0.19
2006-03-31,$0.19
2005-12-31,$0.14
2005-09-30,$0.16
2005-06-30,$0.14
2005-03-31,$0.11
