Charles Schwab Price/Book Ratio Historical Data,Charles Schwab Price/Book Ratio Historical Data,Charles Schwab Price/Book Ratio Historical Data,Charles Schwab Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,67.57,,2.27
2020-12-31,52.87,$29.81,1.77
2020-09-30,35.97,$24.30,1.48
2020-06-30,33.32,$23.92,1.39
2020-03-31,33.03,$20.41,1.62
2019-12-31,46.55,$14.83,3.14
2019-09-30,40.78,$16.57,2.46
2019-06-30,39.0,$16.29,2.39
2019-03-31,41.34,$16.21,2.55
2018-12-31,40.0,$15.51,2.58
2018-09-30,47.21,$15.41,3.06
2018-06-30,48.96,$14.88,3.29
2018-03-31,49.95,$14.34,3.48
2017-12-31,49.04,$13.77,3.56
2017-09-30,41.68,$13.45,3.1
2017-06-30,40.86,$13.07,3.13
2017-03-31,38.74,$12.70,3.05
2016-12-31,37.39,$12.32,3.03
2016-09-30,29.84,$11.68,2.55
2016-06-30,23.87,$11.33,2.11
2016-03-31,26.36,$10.98,2.4
2015-12-31,30.89,$10.15,3.04
2015-09-30,26.74,$10.02,2.67
2015-06-30,30.52,$9.45,3.23
2015-03-31,28.4,$9.26,3.07
2014-12-31,28.11,$9.01,3.12
2014-09-30,27.31,$8.79,3.11
2014-06-30,24.97,$8.58,2.91
2014-03-31,25.28,$8.31,3.04
2013-12-31,23.99,$8.00,3.0
2013-09-30,19.45,$7.81,2.49
2013-06-30,19.49,$7.57,2.57
2013-03-31,16.18,$7.64,2.12
2012-12-31,13.09,$7.51,1.74
2012-09-30,11.6,$7.42,1.56
2012-06-30,11.68,$7.15,1.63
2012-03-31,12.92,$6.55,1.97
2011-12-31,10.07,$6.07,1.66
2011-09-30,10.04,$6.03,1.66
2011-06-30,14.58,$5.57,2.62
2011-03-31,15.92,$5.38,2.96
2010-12-31,15.06,$5.18,2.91
2010-09-30,12.19,$5.05,2.41
2010-06-30,12.39,$4.92,2.51
2010-03-31,16.27,$4.75,3.42
2009-12-31,16.33,$4.37,3.74
2009-09-30,16.56,$4.22,3.92
2009-06-30,15.12,$3.98,3.8
2009-03-31,13.32,$3.71,3.59
2008-12-31,13.83,$3.51,3.94
2008-09-30,22.16,$3.52,6.3
2008-06-30,17.46,$3.38,5.17
2008-03-31,15.97,$3.16,5.06
2007-12-31,21.61,$3.22,6.72
2007-09-30,18.23,$2.94,6.2
2007-06-30,16.46,$4.05,4.06
2007-03-31,14.63,$3.94,3.71
2006-12-31,15.43,$3.96,3.9
2006-09-30,14.25,$3.67,3.88
2006-06-30,12.69,$3.61,3.52
2006-03-31,13.65,$3.59,3.8
