Charles Schwab ROA - Return on Assets Historical Data,Charles Schwab ROA - Return on Assets Historical Data,Charles Schwab ROA - Return on Assets Historical Data,Charles Schwab ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$3.04B,$549.01B,0.70%
2020-09-30,$2.79B,$419.36B,0.75%
2020-06-30,$3.09B,$400.48B,0.92%
2020-03-31,$3.36B,$370.78B,1.10%
2019-12-31,$3.53B,$294.01B,1.25%
2019-09-30,$3.61B,$278.99B,1.27%
2019-06-30,$3.58B,$276.32B,1.27%
2019-03-31,$3.51B,$282.82B,1.26%
2018-12-31,$3.33B,$296.48B,1.23%
2018-09-30,$2.99B,$272.10B,1.17%
2018-06-30,$2.68B,$261.88B,1.09%
2018-03-31,$2.40B,$248.32B,1.02%
2017-12-31,$2.18B,$243.27B,0.95%
2017-09-30,$2.11B,$230.71B,0.94%
2017-06-30,$2.00B,$220.60B,0.91%
2017-03-31,$1.88B,$227.06B,0.88%
2016-12-31,$1.75B,$223.38B,0.85%
2016-09-30,$1.65B,$209.34B,0.84%
2016-06-30,$1.54B,$198.05B,0.83%
2016-03-31,$1.47B,$191.00B,0.83%
2015-12-31,$1.36B,$183.71B,0.80%
2015-09-30,$1.32B,$170.40B,0.81%
2015-06-30,$1.26B,$163.63B,0.81%
2015-03-31,$1.23B,$160.17B,0.81%
2014-12-31,$1.26B,$154.64B,0.86%
2014-09-30,$1.23B,$147.44B,0.85%
2014-06-30,$1.20B,$143.40B,0.84%
2014-03-31,$1.13B,$144.07B,0.80%
2013-12-31,$1.01B,$143.64B,0.73%
2013-09-30,$0.90B,$140.21B,0.66%
2013-06-30,$0.86B,$135.91B,0.66%
2013-03-31,$0.89B,$133.32B,0.71%
2012-12-31,$0.88B,$133.64B,0.74%
2012-09-30,$0.86B,$117.66B,0.76%
2012-06-30,$0.84B,$111.82B,0.77%
2012-03-31,$0.82B,$111.48B,0.78%
2011-12-31,$0.86B,$108.55B,0.86%
2011-09-30,$0.82B,$102.91B,0.85%
2011-06-30,$0.72B,$97.57B,0.78%
2011-03-31,$0.69B,$94.88B,0.77%
2010-12-31,$0.45B,$92.57B,0.53%
2010-09-30,$0.50B,$87.30B,0.62%
2010-06-30,$0.58B,$82.30B,0.76%
2010-03-31,$0.58B,$78.34B,0.81%
2009-12-31,$0.79B,$75.43B,1.21%
2009-09-30,$0.93B,$67.98B,1.57%
2009-06-30,$1.04B,$62.26B,1.87%
2009-03-31,$1.13B,$54.90B,2.17%
2008-12-31,$1.21B,$51.68B,2.46%
2008-09-30,$1.21B,$52.76B,2.58%
2008-06-30,$2.44B,$48.36B,5.60%
2008-03-31,$2.44B,$44.55B,5.57%
2007-12-31,$2.41B,$42.29B,5.41%
2007-09-30,$2.57B,$39.31B,5.56%
2007-06-30,$1.30B,$49.00B,2.70%
2007-03-31,$1.26B,$47.28B,2.64%
2006-12-31,$1.23B,$48.99B,2.57%
2006-09-30,$0.95B,$47.14B,2.00%
2006-06-30,$0.89B,$46.87B,1.90%
2006-03-31,$0.82B,$47.62B,1.76%
2005-12-31,$0.73B,$47.35B,1.56%
