Stifel Financial Debt/Equity Ratio Historical Data,Stifel Financial Debt/Equity Ratio Historical Data,Stifel Financial Debt/Equity Ratio Historical Data,Stifel Financial Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$22.37B,$4.24B,5.28
2020-09-30,$21.52B,$4.03B,5.34
2020-06-30,$21.74B,$3.88B,5.6
2020-03-31,$22.43B,$3.47B,6.46
2019-12-31,$20.94B,$3.67B,5.71
2019-09-30,$20.60B,$3.56B,5.79
2019-06-30,$20.86B,$3.49B,5.98
2019-03-31,$20.75B,$3.43B,6.04
2018-12-31,$21.32B,$3.20B,6.67
2018-09-30,$20.60B,$3.16B,6.52
2018-06-30,$19.65B,$2.95B,6.65
2018-03-31,$18.80B,$2.92B,6.44
2017-12-31,$18.52B,$2.86B,6.47
2017-09-30,$17.55B,$2.93B,5.99
2017-06-30,$16.69B,$2.85B,5.87
2017-03-31,$16.36B,$2.78B,5.89
2016-12-31,$16.39B,$2.74B,5.99
2016-09-30,$14.51B,$2.69B,5.39
2016-06-30,$12.90B,$2.49B,5.18
2016-03-31,$11.80B,$2.42B,4.88
2015-12-31,$10.83B,$2.49B,4.35
2015-09-30,$6.87B,$2.49B,2.75
2015-06-30,$7.62B,$2.52B,3.02
2015-03-31,$7.01B,$2.36B,2.97
2014-12-31,$7.20B,$2.32B,3.1
2014-09-30,$7.09B,$2.24B,3.17
2014-06-30,$7.40B,$2.17B,3.41
2014-03-31,$7.29B,$2.10B,3.47
2013-12-31,$6.95B,$2.06B,3.38
2013-09-30,$6.72B,$1.99B,3.37
2013-06-30,$6.60B,$1.90B,3.48
2013-03-31,$6.23B,$1.90B,3.27
2012-12-31,$5.47B,$1.50B,3.66
2012-09-30,$4.71B,$1.43B,3.3
2012-06-30,$4.77B,$1.37B,3.48
2012-03-31,$4.12B,$1.34B,3.07
2011-12-31,$3.65B,$1.30B,2.8
2011-09-30,$3.68B,$1.26B,2.92
2011-06-30,$3.22B,$1.30B,2.48
2011-03-31,$3.25B,$1.29B,2.53
2010-12-31,$2.96B,$1.25B,2.36
2010-09-30,$2.97B,$1.21B,2.45
2010-06-30,$2.44B,$0.93B,2.64
2010-03-31,$2.32B,$0.91B,2.54
2009-12-31,$2.29B,$0.87B,2.63
2009-09-30,$2.06B,$0.83B,2.47
2009-06-30,$1.59B,$0.70B,2.26
2009-03-31,$1.38B,$0.63B,2.19
2008-12-31,$0.97B,$0.59B,1.63
2008-09-30,$1.48B,$0.57B,2.61
2008-06-30,$1.22B,$0.47B,2.63
2008-03-31,$1.18B,$0.44B,2.69
2007-12-31,$1.08B,$0.43B,2.53
2007-09-30,$1.11B,$0.41B,2.73
2007-06-30,$1.25B,$0.39B,3.21
2007-03-31,$1.09B,$0.34B,3.17
2006-12-31,$0.87B,$0.22B,3.93
2006-09-30,$0.92B,$0.21B,4.38
2006-06-30,$0.86B,$0.21B,4.16
2006-03-31,$0.70B,$0.20B,3.54
2005-12-31,$0.69B,$0.16B,4.43
2005-09-30,$0.30B,$0.15B,2.06
2005-06-30,$0.30B,$0.14B,2.17
2005-03-31,$0.30B,$0.13B,2.29
