Date,EBITDA
2020-12-31,$284
2020-09-30,$203
2020-06-30,$186
2020-03-31,$163
2019-12-31,$210
2019-09-30,$199
2019-06-30,$192
2019-03-31,$182
2018-12-31,$197
2018-09-30,$179
2018-06-30,$155
2018-03-31,$154
2017-12-31,$35
2017-09-30,$150
2017-06-30,$119
2017-03-31,$118
2016-12-31,$115
2016-09-30,$65
2016-06-30,$49
2016-03-31,$78
2015-12-31,$28
2015-09-30,$59
2015-06-30,$61
2015-03-31,$97
2014-12-31,$100
2014-09-30,$93
2014-06-30,$102
2014-03-31,$108
2013-12-31,$114
2013-09-30,$62
2013-06-30,$83
2013-03-31,$45
2012-12-31,$94
2012-09-30,$89
2012-06-30,$70
2012-03-31,$85
2011-12-31,$73
2011-09-30,$64
2011-06-30,$28
2011-03-31,$75
2010-12-31,$93
2010-09-30,$-120
2010-06-30,$56
2010-03-31,$60
2009-12-31,$62
2009-09-30,$49
2009-06-30,$36
2009-03-31,$33
2008-12-31,$32
2008-09-30,$29
2008-06-30,$30
2008-03-31,$32
2007-12-31,$32
2007-09-30,$24
2007-06-30,$12
2007-03-31,$19
2006-12-31,$23
2006-09-30,$9
2006-06-30,$7
2006-03-31,$3
2005-12-31,$12
2005-09-30,$11
2005-06-30,$13
2005-03-31,$10
