Date,EPS
2020-12-31,$1.55
2020-09-30,$0.97
2020-06-30,$0.93
2020-03-31,$0.71
2019-12-31,$1.08
2019-09-30,$0.89
2019-06-30,$0.87
2019-03-31,$0.81
2018-12-31,$0.92
2018-09-30,$0.83
2018-06-30,$0.69
2018-03-31,$0.71
2017-12-31,$-0.04
2017-09-30,$0.53
2017-06-30,$0.42
2017-03-31,$0.52
2016-12-31,$0.20
2016-09-30,$0.14
2016-06-30,$0.09
2016-03-31,$0.24
2015-12-31,$0.09
2015-09-30,$0.15
2015-06-30,$0.18
2015-03-31,$0.37
2014-12-31,$0.39
2014-09-30,$0.35
2014-06-30,$0.39
2014-03-31,$0.42
2013-12-31,$0.44
2013-09-30,$0.62
2013-06-30,$0.27
2013-03-31,$0.14
2012-12-31,$0.42
2012-09-30,$0.40
2012-06-30,$0.28
2012-03-31,$0.37
2011-12-31,$0.29
2011-09-30,$0.23
2011-06-30,$0.03
2011-03-31,$0.33
2010-12-31,$0.55
2010-09-30,$-1.10
2010-06-30,$0.27
2010-03-31,$0.30
2009-12-31,$0.32
2009-09-30,$0.30
2009-06-30,$0.23
2009-03-31,$0.20
2008-12-31,$0.24
2008-09-30,$0.20
2008-06-30,$0.20
2008-03-31,$0.24
2007-12-31,$0.22
2007-09-30,$0.13
2007-06-30,$0.03
2007-03-31,$0.17
2006-12-31,$0.15
2006-09-30,$0.12
2006-06-30,$0.05
2006-03-31,$0.01
2005-12-31,$0.11
2005-09-30,$0.12
2005-06-30,$0.14
2005-03-31,$0.10
