Stifel Financial Price/Book Ratio Historical Data,Stifel Financial Price/Book Ratio Historical Data,Stifel Financial Price/Book Ratio Historical Data,Stifel Financial Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,67.1,,1.63
2020-12-31,50.34,$41.09,1.22
2020-09-30,33.54,$39.16,0.86
2020-06-30,31.36,$37.76,0.83
2020-03-31,27.2,$33.77,0.81
2019-12-31,39.83,$35.81,1.11
2019-09-30,37.6,$34.44,1.09
2019-06-30,38.59,$33.29,1.16
2019-03-31,34.38,$32.23,1.07
2018-12-31,26.91,$30.11,0.89
2018-09-30,33.22,$28.87,1.15
2018-06-30,33.79,$27.63,1.22
2018-03-31,38.23,$27.05,1.41
2017-12-31,38.37,$26.92,1.43
2017-09-30,34.38,$28.57,1.2
2017-06-30,29.51,$27.78,1.06
2017-03-31,32.21,$27.06,1.19
2016-12-31,32.06,$27.39,1.17
2016-09-30,24.68,$27.10,0.91
2016-06-30,20.18,$24.94,0.81
2016-03-31,19.0,$24.25,0.78
2015-12-31,27.18,$24.79,1.1
2015-09-30,27.02,$24.42,1.11
2015-06-30,37.05,$24.23,1.53
2015-03-31,35.78,$23.22,1.54
2014-12-31,32.74,$23.34,1.4
2014-09-30,30.09,$22.61,1.33
2014-06-30,30.39,$22.12,1.37
2014-03-31,31.93,$21.39,1.49
2013-12-31,30.75,$21.53,1.43
2013-09-30,26.45,$20.97,1.26
2013-06-30,22.89,$20.03,1.14
2013-03-31,22.25,$20.08,1.11
2012-12-31,20.52,$18.15,1.13
2012-09-30,21.56,$17.73,1.22
2012-06-30,19.83,$17.08,1.16
2012-03-31,24.28,$16.71,1.45
2011-12-31,20.57,$16.21,1.27
2011-09-30,17.04,$16.35,1.04
2011-06-30,23.01,$16.36,1.41
2011-03-31,30.71,$16.25,1.89
2010-12-31,26.54,$16.52,1.61
2010-09-30,19.8,$16.05,1.23
2010-06-30,18.56,$13.30,1.4
2010-03-31,23.0,$13.07,1.76
2009-12-31,25.34,$12.78,1.98
2009-09-30,23.49,$12.23,1.92
2009-06-30,20.57,$11.00,1.87
2009-03-31,18.53,$10.25,1.81
2008-12-31,19.62,$10.02,1.96
2008-09-30,21.35,$9.81,2.18
2008-06-30,14.71,$8.72,1.69
2008-03-31,12.81,$8.26,1.55
2007-12-31,14.99,$8.10,1.85
2007-09-30,16.5,$7.97,2.07
2007-06-30,16.8,$7.65,2.2
2007-03-31,12.64,$6.80,1.86
2006-12-31,11.19,$5.43,2.06
2006-09-30,9.05,$5.38,1.68
2006-06-30,10.07,$5.14,1.96
2006-03-31,12.46,$4.90,2.54
