Stifel Financial ROA - Return on Assets Historical Data,Stifel Financial ROA - Return on Assets Historical Data,Stifel Financial ROA - Return on Assets Historical Data,Stifel Financial ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.48B,$26.60B,1.84%
2020-09-30,$0.42B,$25.55B,1.66%
2020-06-30,$0.42B,$25.62B,1.66%
2020-03-31,$0.42B,$25.90B,1.68%
2019-12-31,$0.43B,$24.61B,1.78%
2019-09-30,$0.42B,$24.16B,1.72%
2019-06-30,$0.42B,$24.34B,1.71%
2019-03-31,$0.40B,$24.18B,1.67%
2018-12-31,$0.39B,$24.52B,1.66%
2018-09-30,$0.27B,$23.76B,1.20%
2018-06-30,$0.23B,$22.61B,1.07%
2018-03-31,$0.20B,$21.72B,0.94%
2017-12-31,$0.17B,$21.38B,0.86%
2017-09-30,$0.20B,$20.48B,1.03%
2017-06-30,$0.15B,$19.53B,0.82%
2017-03-31,$0.11B,$19.14B,0.64%
2016-12-31,$0.08B,$19.13B,0.47%
2016-09-30,$0.06B,$17.21B,0.43%
2016-06-30,$0.07B,$15.39B,0.50%
2016-03-31,$0.08B,$14.21B,0.65%
2015-12-31,$0.09B,$13.33B,0.87%
2015-09-30,$0.13B,$9.36B,1.31%
2015-06-30,$0.15B,$10.14B,1.55%
2015-03-31,$0.17B,$9.37B,1.82%
2014-12-31,$0.18B,$9.52B,1.86%
2014-09-30,$0.18B,$9.33B,1.92%
2014-06-30,$0.21B,$9.58B,2.28%
2014-03-31,$0.19B,$9.39B,2.18%
2013-12-31,$0.16B,$9.01B,1.89%
2013-09-30,$0.15B,$8.71B,1.91%
2013-06-30,$0.12B,$8.49B,1.64%
2013-03-31,$0.12B,$8.13B,1.74%
2012-12-31,$0.14B,$6.97B,2.25%
2012-09-30,$0.13B,$6.14B,2.22%
2012-06-30,$0.11B,$6.14B,2.05%
2012-03-31,$0.09B,$5.47B,1.75%
2011-12-31,$0.08B,$4.95B,1.75%
2011-09-30,$0.10B,$4.94B,2.13%
2011-06-30,$-0.01B,$4.51B,-0.21%
2011-03-31,$0.01B,$4.54B,0.22%
2010-12-31,$0.00B,$4.21B,0.05%
2010-09-30,$-0.01B,$4.18B,-0.40%
2010-06-30,$0.09B,$3.37B,2.91%
2010-03-31,$0.09B,$3.23B,3.01%
2009-12-31,$0.08B,$3.17B,2.93%
2009-09-30,$0.07B,$2.89B,3.06%
2009-06-30,$0.06B,$2.29B,2.94%
2009-03-31,$0.05B,$2.02B,2.96%
2008-12-31,$0.06B,$1.56B,3.19%
2008-09-30,$0.05B,$2.04B,3.10%
2008-06-30,$0.05B,$1.69B,3.04%
2008-03-31,$0.04B,$1.61B,2.36%
2007-12-31,$0.03B,$1.50B,2.11%
2007-09-30,$0.03B,$1.52B,1.77%
2007-06-30,$0.02B,$1.63B,1.67%
2007-03-31,$0.02B,$1.43B,1.95%
2006-12-31,$0.01B,$1.09B,1.34%
2006-09-30,$0.01B,$1.13B,1.22%
2006-06-30,$0.01B,$1.06B,1.48%
2006-03-31,$0.02B,$0.89B,2.44%
2005-12-31,$0.02B,$0.84B,3.70%
