Date,Shares
2020-12-31,115
2020-09-30,114
2020-06-30,112
2020-03-31,115
2019-12-31,118
2019-09-30,117
2019-06-30,119
2019-03-31,119
2018-12-31,122
2018-09-30,122
2018-06-30,122
2018-03-31,123
2017-12-31,122
2017-09-30,121
2017-06-30,120
2017-03-31,121
2016-12-31,116
2016-09-30,116
2016-06-30,114
2016-03-31,114
2015-12-31,118
2015-09-30,120
2015-06-30,117
2015-03-31,116
2014-12-31,115
2014-09-30,115
2014-06-30,113
2014-03-31,114
2013-12-31,110
2013-09-30,113
2013-06-30,111
2013-03-31,104
2012-12-31,94
2012-09-30,95
2012-06-30,94
2012-03-31,94
2011-12-31,95
2011-09-30,95
2011-06-30,95
2011-03-31,95
2010-12-31,87
2010-09-30,93
2010-06-30,79
2010-03-31,79
2009-12-31,73
2009-09-30,74
2009-06-30,70
2009-03-31,68
2008-12-31,63
2008-09-30,63
2008-06-30,61
2008-03-31,60
2007-12-31,58
2007-09-30,60
2007-06-30,59
2007-03-31,52
2006-12-31,47
2006-09-30,47
2006-06-30,48
2006-03-31,45
2005-12-31,42
2005-09-30,42
2005-06-30,42
2005-03-31,42
