Date,EBITDA
2020-12-31,$181
2020-09-30,$108
2020-06-30,$65
2020-03-31,$39
2019-12-31,$122
2019-09-30,$93
2019-06-30,$110
2019-03-31,$101
2018-12-31,$68
2018-09-30,$86
2018-06-30,$89
2018-03-31,$37
2017-12-31,$88
2017-09-30,$86
2017-06-30,$78
2017-03-31,$87
2016-12-31,$72
2016-09-30,$77
2016-06-30,$83
2016-03-31,$72
2015-12-31,$85
2015-09-30,$86
2015-06-30,$67
2015-03-31,$76
2014-12-31,$78
2014-09-30,$93
2014-06-30,$53
2014-03-31,$41
2013-12-31,$54
2013-09-30,$60
2013-06-30,$52
2013-03-31,$48
2012-12-31,$9
2012-09-30,$35
2012-06-30,$14
2012-03-31,$38
2011-12-31,$37
2011-09-30,$-24
2011-06-30,$13
2011-03-31,$39
2010-12-31,$45
2010-09-30,$35
2010-06-30,$35
2010-03-31,$20
2009-12-31,$51
2009-09-30,$34
2009-06-30,$24
2009-03-31,$-9
2008-12-31,$-8
2008-09-30,$14
2008-06-30,$48
2008-03-31,$39
2007-12-31,$-16
2007-09-30,$84
2007-06-30,$86
2007-03-31,$87
2006-12-31,$94
2006-09-30,$85
2006-06-30,$92
2006-03-31,$89
2005-12-31,$90
2005-09-30,$84
2005-06-30,$72
2005-03-31,$79
