Date,EPS
2020-12-31,$2.11
2020-09-30,$1.16
2020-06-30,$0.57
2020-03-31,$0.25
2019-12-31,$1.37
2019-09-30,$0.93
2019-06-30,$1.21
2019-03-31,$1.02
2018-12-31,$0.76
2018-09-30,$0.93
2018-06-30,$0.99
2018-03-31,$0.32
2017-12-31,$0.50
2017-09-30,$0.79
2017-06-30,$0.70
2017-03-31,$0.85
2016-12-31,$0.67
2016-09-30,$0.66
2016-06-30,$0.74
2016-03-31,$0.63
2015-12-31,$0.77
2015-09-30,$0.81
2015-06-30,$0.58
2015-03-31,$0.69
2014-12-31,$0.72
2014-09-30,$0.93
2014-06-30,$0.51
2014-03-31,$0.31
2013-12-31,$0.44
2013-09-30,$0.57
2013-06-30,$0.48
2013-03-31,$0.38
2012-12-31,$0.01
2012-09-30,$0.33
2012-06-30,$0.01
2012-03-31,$0.33
2011-12-31,$0.33
2011-09-30,$-0.33
2011-06-30,$0.03
2011-03-31,$0.37
2010-12-31,$0.45
2010-09-30,$0.32
2010-06-30,$0.35
2010-03-31,$0.11
2009-12-31,$0.40
2009-09-30,$0.24
2009-06-30,$0.29
2009-03-31,$-0.25
2008-12-31,$-0.27
2008-09-30,$0.17
2008-06-30,$0.54
2008-03-31,$0.38
2007-12-31,$0.67
2007-09-30,$0.66
2007-06-30,$0.64
2007-03-31,$0.62
2006-12-31,$0.70
2006-09-30,$0.63
2006-06-30,$0.68
2006-03-31,$0.64
2005-12-31,$0.64
2005-09-30,$0.63
2005-06-30,$0.51
2005-03-31,$0.58
