Selective Insurance Price/Book Ratio Historical Data,Selective Insurance Price/Book Ratio Historical Data,Selective Insurance Price/Book Ratio Historical Data,Selective Insurance Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,75.51,,1.65
2020-12-31,66.74,$45.72,1.46
2020-09-30,51.09,$40.00,1.28
2020-06-30,52.11,$38.43,1.36
2020-03-31,48.87,$35.11,1.39
2019-12-31,63.89,$36.91,1.73
2019-09-30,73.44,$35.98,2.04
2019-06-30,72.96,$34.71,2.1
2019-03-31,61.47,$32.51,1.89
2018-12-31,59.02,$30.40,1.94
2018-09-30,61.3,$29.52,2.08
2018-06-30,52.94,$28.86,1.83
2018-03-31,58.24,$28.25,2.06
2017-12-31,56.15,$29.28,1.92
2017-09-30,51.35,$29.10,1.76
2017-06-30,47.57,$28.32,1.68
2017-03-31,44.67,$27.34,1.63
2016-12-31,40.64,$26.42,1.54
2016-09-30,37.47,$27.22,1.38
2016-06-30,35.78,$26.86,1.33
2016-03-31,34.14,$25.61,1.33
2015-12-31,31.17,$24.37,1.28
2015-09-30,28.71,$23.77,1.21
2015-06-30,25.82,$22.95,1.13
2015-03-31,26.6,$23.11,1.15
2014-12-31,24.75,$22.54,1.1
2014-09-30,20.06,$22.45,0.89
2014-06-30,22.28,$21.96,1.01
2014-03-31,20.9,$21.09,0.99
2013-12-31,24.11,$20.63,1.17
2013-09-30,21.73,$20.16,1.08
2013-06-30,20.3,$19.72,1.03
2013-03-31,21.06,$20.46,1.03
2012-12-31,16.8,$19.77,0.85
2012-09-30,16.45,$20.44,0.8
2012-06-30,14.96,$19.75,0.76
2012-03-31,15.02,$19.76,0.76
2011-12-31,15.01,$19.45,0.77
2011-09-30,10.96,$20.04,0.55
2011-06-30,13.55,$20.33,0.67
2011-03-31,14.3,$20.06,0.71
2010-12-31,14.89,$19.96,0.75
2010-09-30,13.27,$20.41,0.65
2010-06-30,12.0,$19.65,0.61
2010-03-31,13.3,$18.97,0.7
2009-12-31,13.07,$18.83,0.69
2009-09-30,12.39,$18.58,0.67
2009-06-30,9.98,$17.85,0.56
2009-03-31,9.41,$17.23,0.55
2008-12-31,17.58,$16.84,1.04
2008-09-30,17.46,$18.53,0.94
2008-06-30,14.22,$19.32,0.74
2008-03-31,17.99,$19.62,0.92
2007-12-31,17.22,$19.81,0.87
2007-09-30,15.86,$19.64,0.81
2007-06-30,19.92,$18.76,1.06
2007-03-31,18.78,$18.94,0.99
2006-12-31,21.03,$18.81,1.12
2006-09-30,19.24,$18.28,1.05
2006-06-30,20.34,$17.21,1.18
2006-03-31,19.21,$17.40,1.1
