Selective Insurance ROA - Return on Assets Historical Data,Selective Insurance ROA - Return on Assets Historical Data,Selective Insurance ROA - Return on Assets Historical Data,Selective Insurance ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.25B,$9.69B,2.63%
2020-09-30,$0.20B,$9.52B,2.20%
2020-06-30,$0.19B,$9.31B,2.09%
2020-03-31,$0.23B,$8.98B,2.57%
2019-12-31,$0.27B,$8.80B,3.15%
2019-09-30,$0.24B,$8.72B,2.80%
2019-06-30,$0.23B,$8.58B,2.85%
2019-03-31,$0.22B,$8.28B,2.77%
2018-12-31,$0.18B,$7.95B,2.29%
2018-09-30,$0.16B,$7.99B,2.10%
2018-06-30,$0.16B,$7.71B,2.01%
2018-03-31,$0.14B,$7.66B,1.79%
2017-12-31,$0.17B,$7.69B,2.21%
2017-09-30,$0.18B,$7.81B,2.35%
2017-06-30,$0.17B,$7.53B,2.28%
2017-03-31,$0.17B,$7.40B,2.35%
2016-12-31,$0.16B,$7.36B,2.20%
2016-09-30,$0.17B,$7.36B,2.32%
2016-06-30,$0.17B,$7.19B,2.47%
2016-03-31,$0.16B,$7.02B,2.36%
2015-12-31,$0.17B,$6.90B,2.43%
2015-09-30,$0.16B,$6.90B,2.40%
2015-06-30,$0.17B,$6.78B,2.52%
2015-03-31,$0.16B,$6.70B,2.47%
2014-12-31,$0.14B,$6.58B,2.17%
2014-09-30,$0.13B,$6.58B,1.94%
2014-06-30,$0.11B,$6.49B,1.65%
2014-03-31,$0.10B,$6.37B,1.65%
2013-12-31,$0.11B,$6.27B,1.70%
2013-09-30,$0.08B,$6.27B,1.29%
2013-06-30,$0.07B,$6.11B,1.07%
2013-03-31,$0.04B,$6.34B,0.65%
2012-12-31,$0.04B,$6.79B,0.62%
2012-09-30,$0.05B,$5.88B,0.94%
2012-06-30,$0.02B,$5.69B,0.32%
2012-03-31,$0.02B,$5.63B,0.34%
2011-12-31,$0.02B,$5.69B,0.40%
2011-09-30,$0.03B,$5.75B,0.54%
2011-06-30,$0.06B,$5.37B,1.21%
2011-03-31,$0.08B,$5.28B,1.56%
2010-12-31,$0.07B,$5.23B,1.27%
2010-09-30,$0.06B,$5.34B,1.20%
2010-06-30,$0.06B,$5.23B,1.14%
2010-03-31,$0.06B,$5.29B,1.09%
2009-12-31,$0.04B,$5.12B,0.73%
2009-09-30,$0.00B,$5.16B,0.04%
2009-06-30,$-0.00B,$5.03B,-0.04%
2009-03-31,$0.01B,$5.00B,0.22%
2008-12-31,$0.05B,$4.95B,0.90%
2008-09-30,$0.10B,$5.04B,1.89%
2008-06-30,$0.12B,$5.08B,2.46%
2008-03-31,$0.13B,$4.97B,2.62%
2007-12-31,$0.15B,$5.00B,2.97%
2007-09-30,$0.15B,$4.99B,3.17%
2007-06-30,$0.16B,$4.85B,3.23%
2007-03-31,$0.16B,$4.80B,3.41%
2006-12-31,$0.16B,$4.77B,3.54%
2006-09-30,$0.16B,$4.80B,3.55%
2006-06-30,$0.16B,$4.49B,3.68%
2006-03-31,$0.15B,$4.45B,3.52%
2005-12-31,$0.15B,$4.38B,3.51%
