Synovus Financial Debt/Equity Ratio Historical Data,Synovus Financial Debt/Equity Ratio Historical Data,Synovus Financial Debt/Equity Ratio Historical Data,Synovus Financial Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$49.23B,$5.16B,9.54
2020-09-30,$47.98B,$5.07B,9.47
2020-06-30,$49.07B,$5.05B,9.71
2020-03-31,$45.55B,$5.07B,8.99
2019-12-31,$43.26B,$4.94B,8.75
2019-09-30,$42.79B,$4.87B,8.79
2019-06-30,$42.56B,$4.75B,8.95
2019-03-31,$42.03B,$4.60B,9.14
2018-12-31,$29.54B,$3.13B,9.43
2018-09-30,$29.04B,$3.04B,9.55
2018-06-30,$28.57B,$3.17B,9.02
2018-03-31,$28.55B,$2.96B,9.66
2017-12-31,$28.26B,$2.96B,9.54
2017-09-30,$28.65B,$3.00B,9.56
2017-06-30,$27.69B,$3.00B,9.24
2017-03-31,$27.72B,$2.96B,9.36
2016-12-31,$27.18B,$2.93B,9.28
2016-09-30,$26.82B,$2.91B,9.23
2016-06-30,$26.51B,$2.95B,8.98
2016-03-31,$26.22B,$2.95B,8.88
2015-12-31,$25.79B,$3.00B,8.6
2015-09-30,$25.15B,$3.02B,8.34
2015-06-30,$25.20B,$3.01B,8.38
2015-03-31,$24.60B,$3.03B,8.12
2014-12-31,$24.01B,$3.04B,7.89
2014-09-30,$23.44B,$3.08B,7.62
2014-06-30,$23.57B,$3.05B,7.72
2014-03-31,$23.44B,$3.00B,7.82
2013-12-31,$23.25B,$2.95B,7.89
2013-09-30,$23.29B,$2.93B,7.94
2013-06-30,$23.00B,$3.57B,6.44
2013-03-31,$22.64B,$3.58B,6.33
2012-12-31,$23.19B,$3.57B,6.5
2012-09-30,$22.89B,$2.88B,7.96
2012-06-30,$23.44B,$2.85B,8.22
2012-03-31,$24.24B,$2.82B,8.59
2011-12-31,$24.34B,$2.83B,8.61
2011-09-30,$25.42B,$2.83B,8.99
2011-06-30,$25.46B,$2.85B,8.93
2011-03-31,$25.80B,$2.88B,8.95
2010-12-31,$27.07B,$3.03B,8.95
2010-09-30,$27.71B,$3.24B,8.55
2010-06-30,$28.94B,$3.45B,8.4
2010-03-31,$29.80B,$2.64B,11.3
2009-12-31,$29.96B,$2.87B,10.43
2009-09-30,$31.44B,$3.17B,9.91
2009-06-30,$31.30B,$3.06B,10.24
2009-03-31,$30.88B,$3.67B,8.41
2008-12-31,$31.97B,$3.82B,8.37
2008-09-30,$30.96B,$3.38B,9.17
2008-06-30,$30.80B,$3.43B,8.98
2008-03-31,$30.23B,$3.53B,8.56
2007-12-31,$29.62B,$3.44B,8.61
2007-09-30,$29.52B,$4.05B,7.28
2007-06-30,$29.30B,$3.93B,7.46
2007-03-31,$28.87B,$3.84B,7.53
2006-12-31,$28.26B,$3.71B,7.62
2006-09-30,$27.78B,$3.56B,7.8
2006-06-30,$27.15B,$3.37B,8.05
2006-03-31,$25.96B,$3.20B,8.11
2005-12-31,$24.67B,$2.95B,8.37
2005-09-30,$24.20B,$2.88B,8.42
2005-06-30,$23.92B,$2.79B,8.56
2005-03-31,$23.15B,$2.70B,8.58
