Date,EPS
2020-12-31,$0.97
2020-09-30,$0.56
2020-06-30,$0.57
2020-03-31,$0.20
2019-12-31,$0.96
2019-09-30,$0.83
2019-06-30,$0.96
2019-03-31,$0.72
2018-12-31,$0.88
2018-09-30,$0.84
2018-06-30,$0.91
2018-03-31,$0.84
2017-12-31,$0.23
2017-09-30,$0.78
2017-06-30,$0.60
2017-03-31,$0.56
2016-12-31,$0.53
2016-09-30,$0.51
2016-06-30,$0.46
2016-03-31,$0.39
2015-12-31,$0.42
2015-09-30,$0.42
2015-06-30,$0.40
2015-03-31,$0.38
2014-12-31,$0.36
2014-09-30,$0.32
2014-06-30,$0.32
2014-03-31,$0.33
2013-12-31,$0.23
2013-09-30,$0.27
2013-06-30,$0.24
2013-03-31,$0.14
2012-12-31,$5.44
2012-09-30,$0.14
2012-06-30,$0.21
2012-03-31,$0.14
2011-12-31,$0.14
2011-09-30,$0.14
2011-06-30,$-0.49
2011-03-31,$-0.84
2010-12-31,$-1.12
2010-09-30,$-1.75
2010-06-30,$-2.52
2010-03-31,$-3.29
2009-12-31,$-2.73
2009-09-30,$-9.24
2009-06-30,$-12.74
2009-03-31,$-3.22
2008-12-31,$-13.51
2008-09-30,$-0.84
2008-06-30,$0.28
2008-03-31,$1.68
2007-12-31,$1.75
2007-09-30,$2.87
2007-06-30,$3.43
2007-03-31,$3.15
2006-12-31,$3.71
2006-09-30,$3.29
2006-06-30,$3.29
2006-03-31,$3.01
2005-12-31,$3.01
2005-09-30,$3.01
2005-06-30,$2.87
2005-03-31,$2.59
