Synovus Financial ROA - Return on Assets Historical Data,Synovus Financial ROA - Return on Assets Historical Data,Synovus Financial ROA - Return on Assets Historical Data,Synovus Financial ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.34B,$54.39B,0.64%
2020-09-30,$0.34B,$53.04B,0.66%
2020-06-30,$0.39B,$54.12B,0.77%
2020-03-31,$0.45B,$50.62B,0.93%
2019-12-31,$0.54B,$48.20B,1.14%
2019-09-30,$0.50B,$47.66B,1.15%
2019-06-30,$0.47B,$47.32B,1.19%
2019-03-31,$0.43B,$46.63B,1.19%
2018-12-31,$0.41B,$32.67B,1.28%
2018-09-30,$0.34B,$32.08B,1.06%
2018-06-30,$0.33B,$31.74B,1.05%
2018-03-31,$0.30B,$31.50B,0.95%
2017-12-31,$0.26B,$31.22B,0.85%
2017-09-30,$0.30B,$31.64B,0.98%
2017-06-30,$0.27B,$30.69B,0.89%
2017-03-31,$0.26B,$30.68B,0.85%
2016-12-31,$0.24B,$30.10B,0.80%
2016-09-30,$0.23B,$29.73B,0.78%
2016-06-30,$0.22B,$29.46B,0.76%
2016-03-31,$0.21B,$29.17B,0.75%
2015-12-31,$0.22B,$28.79B,0.76%
2015-09-30,$0.21B,$28.17B,0.76%
2015-06-30,$0.20B,$28.21B,0.73%
2015-03-31,$0.19B,$27.63B,0.70%
2014-12-31,$0.19B,$27.05B,0.69%
2014-09-30,$0.17B,$26.52B,0.64%
2014-06-30,$0.16B,$26.63B,0.62%
2014-03-31,$0.15B,$26.44B,0.57%
2013-12-31,$0.12B,$26.20B,0.45%
2013-09-30,$0.79B,$26.22B,3.00%
2013-06-30,$0.77B,$26.56B,2.93%
2013-03-31,$0.77B,$26.21B,2.91%
2012-12-31,$0.77B,$26.76B,2.91%
2012-09-30,$0.08B,$25.77B,0.28%
2012-06-30,$0.08B,$26.29B,0.28%
2012-03-31,$-0.00B,$27.07B,-0.01%
2011-12-31,$-0.12B,$27.16B,-0.42%
2011-09-30,$-0.31B,$28.25B,-1.08%
2011-06-30,$-0.52B,$28.31B,-1.78%
2011-03-31,$-0.71B,$28.68B,-2.34%
2010-12-31,$-0.85B,$30.09B,-2.70%
2010-09-30,$-0.95B,$30.96B,-2.96%
2010-06-30,$-1.21B,$32.38B,-3.66%
2010-03-31,$-1.57B,$32.44B,-4.67%
2009-12-31,$-1.49B,$32.83B,-4.37%
2009-09-30,$-1.84B,$34.61B,-5.29%
2009-06-30,$-1.43B,$34.35B,-4.11%
2009-03-31,$-0.82B,$34.55B,-2.35%
2008-12-31,$-0.58B,$35.79B,-1.69%
2008-09-30,$0.14B,$34.34B,0.40%
2008-06-30,$0.31B,$34.23B,0.92%
2008-03-31,$0.46B,$33.76B,1.38%
2007-12-31,$0.53B,$33.06B,1.59%
2007-09-30,$0.62B,$33.58B,1.89%
2007-06-30,$0.64B,$33.22B,1.98%
2007-03-31,$0.63B,$32.71B,1.99%
2006-12-31,$0.62B,$31.97B,2.01%
2006-09-30,$0.58B,$31.35B,1.95%
2006-06-30,$0.56B,$30.53B,1.95%
2006-03-31,$0.53B,$29.16B,1.93%
2005-12-31,$0.52B,$27.62B,1.92%
